name,ttm,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,07/31/1986,04/30/1986,01/31/1986,10/31/1985
MarketCap,"124,740,586,740","130,252,131,510","123,300,587,554","93,762,054,307","83,819,367,101","72,493,988,716","83,351,396,715","72,334,638,760","65,476,245,194","52,908,895,053","61,273,327,189","77,911,481,621","64,850,341,029","61,106,022,277","56,885,498,261","47,006,858,113","48,323,235,611","42,531,333,287","35,553,950,300","41,076,423,769","36,664,522,904","32,469,115,273","31,428,909,093","30,489,465,776","32,982,147,591","31,059,611,522","23,771,719,541","20,904,284,283","17,308,996,364","19,998,527,184","18,057,007,330","22,248,409,210","21,326,879,323","17,628,413,844","11,181,706,571","11,879,022,380","14,200,404,858","20,777,735,739","17,850,057,359","19,706,554,324","26,323,137,306","32,136,078,545","36,042,832,913","30,953,252,855","27,003,447,382","38,692,774,374","28,792,389,908","29,764,181,850","26,313,150,976","23,150,882,850","24,542,404,650","34,642,159,650","49,084,809,300","46,730,932,869","54,469,741,800","48,203,266,860","51,498,219,520","50,594,130,828","42,887,092,390","40,412,185,480","44,093,112,240","46,113,249,410","40,705,466,400","33,074,598,370","34,305,236,280","39,863,611,004","36,052,337,280","31,828,873,530","35,194,537,750","38,733,548,286","32,072,731,620","32,131,744,800","25,912,796,000","32,511,310,592","38,044,898,910","37,927,737,600","49,001,529,600","47,709,587,200","41,422,997,000","30,493,004,800","60,431,707,000","66,442,337,931","63,817,902,000","92,191,823,238","85,908,768,570","127,076,124,174","117,640,760,750","61,790,052,512","45,283,409,640","37,432,616,117","29,318,040,000","27,969,410,160","35,044,830,480","34,616,672,052","34,863,790,500","36,088,537,212","33,807,312,000","26,557,175,282","24,548,586,568","23,800,450,568","24,735,620,568","22,724,613,139","22,949,161,536","19,770,918,036","18,134,683,500","18,275,274,036","20,975,857,728","21,816,372,000","22,703,976,000","21,068,916,000","18,611,255,250","15,905,859,750","14,972,964,750","14,319,938,250","12,731,286,750","12,498,113,000","12,218,304,500","11,472,148,500","11,736,247,625","13,713,016,500","13,890,008,295","14,675,155,018","14,274,358,181","13,485,982,059","19,502,790,014","16,722,609,787","17,099,198,263","17,311,199,708","14,908,808,717","14,414,176,363","16,357,263,863","13,778,285,081","11,128,620,308","11,799,868,717","10,669,345,081","10,704,645,681","8,090,338,035","5,158,070,617","6,429,881,444","5,687,947,045","5,193,371,217"
EnterpriseValue,"104,850,980,462","111,101,950,112","105,181,906,918","79,400,555,345","69,865,937,517","62,481,585,718","74,833,567,347","64,596,208,169","52,160,830,772","41,263,207,855","47,033,318,525","65,308,892,509","52,021,507,529","50,089,645,655","49,756,862,108","40,400,979,999","41,074,948,701","37,511,754,782","32,254,906,307","33,869,102,800","26,582,422,967","24,029,222,474","25,531,916,808","24,965,086,040","25,219,011,823","24,176,462,964","19,145,520,101","16,487,423,616","11,544,544,548","16,432,704,513","17,121,857,018","21,113,304,469","17,861,343,756","17,955,584,182","11,539,991,980","10,662,931,428","9,123,839,635","24,874,521,326","14,080,897,694","15,890,536,413","21,142,754,394","23,902,414,651","40,329,013,826","37,707,234,183","32,279,092,118","32,636,943,406","34,254,613,946","38,695,819,986","33,953,736,856","22,985,170,955","32,608,408,375","45,466,159,752","56,845,809,373","42,418,683,526","62,873,741,950","58,481,589,161","49,902,002,995","61,807,009,751","52,776,231,707","48,447,606,050","52,376,112,167","51,842,249,507","47,702,414,147","40,350,598,434","39,510,236,186","44,289,611,169","46,008,337,571","41,997,873,530","44,476,537,920","47,459,548,704","42,605,732,012","43,035,744,506","34,078,796,068","38,513,310,592","46,338,898,770","47,357,737,754","58,345,592,855","58,303,281,285","52,105,997,324","44,731,776,330","71,983,630,627","78,828,161,510","76,009,269,679","104,469,447,561","98,422,769,159","137,513,123,970","130,385,761,373","74,019,052,742","56,205,871,549","47,339,616,033","41,981,806,777","39,292,772,491","45,295,957,332","45,824,913,473","47,218,790,594","49,337,405,761","47,659,488,483","38,920,845,282","39,895,396,832","39,909,018,857","40,706,102,521","33,647,571,179","33,338,145,093","29,015,698,856","28,876,789,120","28,465,774,507","29,510,309,782","30,406,971,739","31,481,676,000","29,474,015,918","27,348,150,877","25,100,359,576","24,171,164,577","23,565,738,169","22,027,086,824","22,304,812,672","22,300,704,900","21,483,648,349","21,015,547,922","23,223,716,714","21,699,087,567","21,089,151,370","20,943,658,230","20,183,013,775","26,395,442,006","22,405,400,185","17,517,693,907","17,567,022,968","15,156,813,656","14,683,576,367","17,862,244,984","15,187,907,713","12,541,941,053","13,320,868,704","13,081,495,089","12,709,308,420","10,082,494,702","5,407,907,553","6,658,419,317","5,887,406,464","5,375,271,220"
PeRatio,"12.051","13.548","13.932","15.333","16.127","12.325","11.098","9.788","7.978","7.472","10.17","13.982","14.919","12.459","25.281","40.724","75.207",,"75.325","52.88","25.681","30.875","35.505",,,,,,,"19.591","28.089","31.094","51.933",,,,"2.484",,,,,,"40.293","32.732","107.953",,,,,,"21.863","12.074","14.45","11.38","23.969","36.237","52.638","49.266","39.463","30.466","32.25","46.507","47.731","37.339","30.353","26.327","22.35","27.681","34.406","46.771","176.962","72.8","55.667","35.24","22.175","30.094","621.47","206.728","178.794","55.487","65.556",,"271.64","184.533","169.165","218.156","91.844","46.358","38.722","27.658","17.572","19.728","24.233","23.466","25.249","28.958","28.935","27.68","27.117","33.946","54.032","50.25","57.761",,,,,,"178.169","134.226","114.169","61.176","56.721","47.969","68.15","17.538","14.992","13.851","12.985","23.075","21.547","20.505","17.805","18.585","29.372","24.42","29.148","32.602","28.963","27.93","41.74","37.537","30.061","35.806","29.723","35.883","27.29","12.883","14.611","13.664","13.258"
ForwardPeRatio,"19.121","19.96","20.921","19.646","21.053","12.407","16.181","15.432","13.812","11.111","12.048","15.361","13.605","15.244","14.514","16.695","18.315","18.587","19.048",,"15.748","15.083",,,,,,,"7.138","8.17","7.987","9.141","5.365","200",,,,"24.57","18.727","10.549","12.837","17.422","19.493",,,,"36.101",,"35.336",,"1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,"1.757","1.834","2.549","2.069",,,,"2.919","2.612","2.099","2.339","10.167",,"0.374","0.386","1.168","1.422",,,,,,,,,,,,"0.022","0.026","0.025","0.029","0.017","0.622",,,,,,,"0.153","0.208","0.232",,,,"1.762",,"17.681",,"65.852","-14.14","-20.035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"1.569","1.715","1.573","1.226","1.137","0.941","1.107","0.953","0.844","0.714","0.788","1.03","0.857","0.785","0.796","0.69","0.725","0.645","0.545","0.547","0.468","0.423","0.432","0.41","0.473","0.427","0.322","0.26","0.225","0.308","0.272","0.335","0.329","0.247","0.145","0.14","0.175","0.265","0.205","0.213","0.305","0.37","0.399","0.354","0.326","0.495","0.386","0.378","0.34","0.265","0.255","0.388","0.55","0.474","0.72","0.679","0.802","0.787","0.695","0.67","0.709","0.769","0.711","0.556","0.555","0.62","0.558","0.499","0.545","0.565","0.491","0.517","0.44","0.545","0.623","0.623","0.764","0.817","0.707","0.488","1.018","1.313","1.153","1.568","1.437","2.06","2.006","1.122","0.911","0.729","0.621","0.661","0.831","0.771","0.828","0.836","0.773","0.682","0.571","0.565","0.638","0.585","0.618","0.577","0.456","0.459","0.561","0.58","0.551","0.55","0.579","0.449","0.424","0.436","0.429","0.403","0.422","0.425","0.447","0.553","0.567","0.633","0.55","0.581","1.025","0.827","0.999","1.039","0.923","0.919","1.266","1.139","0.983","0.824","0.925","1.117","0.849","0.645","0.848","0.781","0.673"
PbRatio,"2.509","2.688","2.563","2.31","2.202","1.844","2.327","2.042","1.878","1.546","2.01","2.707","2.421","2.15","2.355","2.048","2.164","1.941","1.781","1.763","1.545","1.312","1.414","1.554","1.758","1.514","1.228","1.003","0.786","0.847","0.832","0.968","0.96","0.825","0.48","0.473","0.559","0.77","0.594","0.618","0.85","1.043","1","0.903","0.826","1.204","0.901","0.912","0.843","0.773","0.697","1.074","1.45","1.345","1.677","1.558","1.883","1.717","1.577","1.51","1.598","1.694","1.595","1.246","1.306","1.489","1.408","1.39","1.572","1.694","1.465","1.569","1.335","1.684","1.836","1.96","2.466","2.659","2.289","1.583","3.225","3.721","3.473","4.709","4.305","6.171","6.657","3.786","2.972","2.442","1.878","1.936","2.509","2.517","2.581","2.727","2.664","2.256","2.116","2.118","2.299","2.1","2.151","1.991","1.571","1.614","1.955","2.02","1.61","1.632","1.524","1.238","1.174","1.152","1.057","1.011","1.014","0.991","0.957","1.243","1.292","1.433","1.34","1.29","2.088","1.956","1.934","2.639","2.344","2.087","3.177","2.857","2.302","2.268","2.388","2.883","2.193","1.325","1.806","1.831","1.833"
EnterprisesValueRevenueRatio,"0.012","0.05","0.039","0.038","0.035","0.036","0.03","0.03","0.027","0.019","0.02","0.03","0.027","0.026","0.019","0.02","0.022","0.02","0.013","0.02","0.016","0.013","0.01","0.013","0.014","0.012","0.007","0.009","0.006","0.009","0.007","0.012","0.01","0.01","0.006","0.007","0.006","0.016","0.008","0.01","0.014","0.015","0.018","0.022","0.019","0.019","0.015","0.023","0.021","0.015","0.015","0.022","0.029","0.02","0.022","0.028","0.025","0.03","0.02","0.026","0.03","0.028","0.02","0.024","0.025","0.026","0.022","0.025","0.027","0.027","0.018","0.024","0.021","0.023","0.02","0.027","0.034","0.031","0.023","0.025","0.044","0.039","0.036","0.062","0.062","0.096","0.068","0.046","0.038","0.03","0.022","0.022","0.028","0.027","0.023","0.03","0.033","0.027","0.024","0.029","0.034","0.027","0.025","0.025","0.032","0.032","0.026","0.031","0.037","0.03","0.026","0.026","0.029","0.025","0.02","0.022","0.024","0.024","0.018","0.024","0.025","0.024","0.02","0.022","0.031","0.027","0.02","0.027","0.026","0.025","0.029","0.029","0.027","0.031","0.037","0.03","0.026","0.018","0.02","0.015","0.023"
EnterprisesValueEBITDARatio,"0.056","0.397","0.16","0.172","0.149","0.249","0.157","0.146","0.135","0.126","0.086","0.159","0.113","0.234","0.093","0.11","0.13","0.142","0.149","0.175","0.123","0.189","0.068","0.108","0.086","0.287","0.06","0.297","0.05","0.138","0.07","0.134","0.094","0.052","0.065","0.027","0.089","-0.057","0.084","0.177","0.197","1.259","0.296","0.181","0.091","0.268","0.072","0.105","0.144","-0.417","0.158","0.247","0.259","0.065","0.172","0.222","0.17","0.128","0.135","0.339","0.266","0.379","0.15","0.146","0.308","0.446","0.148","0.207","0.294","0.548","0.13","0.21","0.222","0.583","0.123","0.227","0.294","0.392","0.166","0.338","0.52","0.448","0.261","0.539","0.594","-3.12","0.792","1.062","1.329","-1.308","0.238","0.352","0.497","0.759","0.21","0.353","0.487","0.563","0.242","0.493","0.73","0.663","0.302","0.475","1.841","0.359","0.236","-0.126","0.381","-0.011","0.026","0.356","0.295","0.314","0.17","0.242","0.212","0.388","0.142","0.207","0.187","0.209","0.139","0.161","0.193","0.135","0.127","0.236","0.026","-0.01","0.029","0.029","0.027","-0.014","0.037","0.03","0.026","0.018","0.02","0.015","-0.005"
