name,ttm,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
MarketCap,"3,600,340,207","2,706,933,908","2,495,932,169","2,256,059,467","2,148,355,780","1,954,695,366","2,662,596,360","2,848,382,876","2,805,076,433","2,698,028,904","1,659,295,001","1,705,131,880","1,264,068,855","1,615,235,471","2,009,273,218","2,013,846,961","2,136,311,259","1,923,025,497","1,665,656,698","1,379,836,155","1,373,410,083","1,487,868,684","1,695,924,714","1,796,931,244","1,403,777,035","1,050,579,410","816,153,331","691,917,790","683,017,334","787,875,838","677,037,434","578,705,587","565,662,510","557,984,670","613,814,218","628,582,680","593,322,976","577,707,975","539,126,584","510,673,960","623,011,182","615,460,647","510,538,371","486,196,401","440,176,300","537,520,879","495,003,032","443,780,023","505,174,327","476,951,274","420,227,400","399,197,744","338,120,306","563,411,932","537,181,611","550,136,738","458,903,448","523,405,384","622,940,803","570,869,761","462,176,013","417,833,134","390,583,147","444,538,121","459,071,447","475,148,939","517,062,919","489,601,032","523,588,516","462,682,945","478,030,370","452,799,483","493,765,763","451,262,117","582,094,953","421,695,844","379,104,942","429,893,121","331,388,580","330,438,169","344,443,496","353,967,118","330,774,835","366,258,351","397,397,000","462,324,970","413,741,461","489,868,902","489,104,000","462,166,250","480,987,500","501,900,000","553,135,625","483,078,750","577,185,000","480,987,500","405,702,500","363,877,500","428,317,500","353,172,000","327,613,500","313,672,500","325,290,000","327,613,500","288,114,000","271,849,500","246,291,000","267,202,500","255,585,000","260,232,000","339,231,000","318,319,500","220,344,000","176,734,250","167,553,250","162,962,750","167,553,250","165,258,000","185,915,250","183,620,000","197,391,500","224,934,500","174,439,000","165,258,000","199,686,750","218,048,750","213,458,250","261,658,500","293,792,000","241,001,250","208,085,750","249,720,750","276,114,000","235,509,000","186,783,000","259,872,000","282,204,750","233,892,000","211,152,500","227,395,000","353,923,500","349,206,000","304,501,750","300,443,000"
EnterpriseValue,"4,667,356,207","3,810,931,908","3,514,213,169","3,307,769,467","3,367,557,780","3,134,795,366","3,849,453,360","4,081,974,876","4,091,262,433","3,896,832,904","2,893,245,001","2,897,390,880","2,508,114,855","2,767,082,471","3,174,312,218","3,130,131,961","3,175,467,259","2,876,476,497","2,500,136,698","2,230,236,155","2,174,630,083","2,121,013,684","2,271,869,714","2,390,478,244","1,975,699,035","1,547,617,410","1,307,835,331","1,196,901,790","1,174,765,334","1,250,906,838","1,141,383,434","1,080,382,587","1,083,467,510","1,040,552,670","1,096,382,218","1,145,557,680","1,131,945,976","1,084,222,975","1,068,774,584","1,040,321,960","1,195,983,182","1,185,050,647","1,046,990,371","1,039,044,401","1,030,080,300","1,124,317,879","1,078,257,032","1,035,606,023","1,116,900,327","1,096,086,274","1,043,884,400","1,048,344,744","1,029,183,306","1,266,611,932","1,206,375,611","1,251,890,738","1,180,371,448","1,230,538,384","1,334,881,803","1,309,670,761","1,200,977,013","1,170,134,134","1,134,454,147","1,188,409,121","1,231,985,447","1,256,102,939","1,297,244,919","1,266,224,032","1,341,002,516","1,309,024,945","1,308,266,370","1,300,557,483","1,357,883,763","1,335,857,117","1,417,683,953","1,233,967,844","1,282,514,942","1,092,269,121","993,764,580","1,022,193,169","1,013,961,496","1,042,791,118","1,024,790,835","1,105,130,351","1,136,269,000","1,222,122,970","1,166,241,461","1,246,168,902","1,257,104,000","1,181,566,250","995,587,500","1,029,100,000","1,097,635,625","1,025,878,750","1,078,585,000","997,887,500","929,902,500","890,077,500","865,017,500","755,972,000","747,613,500","731,272,500","742,590,000","755,013,500","715,514,000","706,349,500","698,891,000","719,802,500","708,485,000","719,632,000","773,031,000","762,419,500","796,744,000","743,434,250","722,453,250","725,562,750","721,753,250","727,758,000","726,515,250","436,820,000","468,491,500","467,834,500","417,339,000","420,858,000","429,386,750","446,348,750","419,858,250","491,358,500","523,492,000","457,901,250","422,285,750","463,920,750","490,314,000","449,709,000","400,983,000","571,172,000","593,504,750","545,192,000","522,452,500","463,595,000","590,123,500","585,406,000","540,701,750","317,943,000"
PeRatio,"17.132","15.78","26.182","39.848","65.67","172.339",,"422.042",,,"19.578","22.175","14.499","16.764","50.412","43.941","38.792","38.437","50.523","38.989","29.435","25.239","29.485","40.626","45.096","33.549","34.387","24.96","27.085","28.517","19.943","20.715","20.589","20.517","22.619","23.483","21.864","20.304","17.689","16.755","17.173","16.545","17.423","14.19","12.916","15.684","13.017","11.87","33.822","23.659","46.424","67.169","23.705","51.782","27.134","18.44","16.936","22.498","37.599","27.996","22.665","18.11","16.667","18.969","22.167","23.995","23.672","21.184","16.941","14.38","15.547","17.325","22.469","21.325","25.199","18.952","26.061","45.794","35.383","65.086","53.904","56.955","52.604","62.594","67.91","76.722","128.041","57.239","49.558","36.833","32.857","38.462","43.503","38.758","38.547","31.944","28.363","26.364","28.017","20","22.596","20.21","20.71","20.494","18.023","18.631","16.667","18.082","16.369","17.391","22.813","27.846","35.821","62.097",,"177.5","182.5","150","63.281","2,000","2,150",,,,,,,,,,,,,,,,,,,"21.341","32.456","35.577","31.623","27.443"
ForwardPeRatio,,,,,,,,,,,,,,,,,,,,,,,,,,"17.331",,,"11.299","13.038","10.01","9.551","9.814","9.921","11.001","11.614","10.627","14.925","13.699","12.18","13.643","15.456","17.241","14.97","11.793","13.661","14.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.709","0.544","0.635","0.581","0.548","0.503","0.556","0.604","0.6","0.582","0.359","0.372","0.28","0.374","0.499","0.542","0.63","0.61","0.569","0.512","0.555","0.646","0.8","0.916","0.777","0.603","0.482","0.414","0.416","0.481","0.416","0.358","0.35","0.346","0.382","0.397","0.377","0.371","0.351","0.332","0.408","0.404","0.415","0.321","0.294","0.37","0.344","0.394","0.44","0.437","0.367","0.275","0.235","0.392","0.375","0.383","0.32","0.366","0.434","0.399","0.323","0.298","0.291","0.331","0.352","0.371","0.412","0.398","0.424","0.379","0.395","0.375","0.397","0.358","0.462","0.337","0.352","0.423","0.327","0.335","0.348","0.358","0.337","0.372","0.404","0.472","0.421","0.494","0.495","0.495","0.526","0.572","0.653","0.57","0.732","0.636","0.559","0.538","0.592","0.463","0.424","0.412","0.432","0.442","0.389","0.38","0.348","0.378","0.364","0.373","0.491","0.425","0.31","0.263","0.255","0.274","0.233","0.24","0.3","0.424","0.495","0.568","0.441","0.376","0.507","0.56","0.577","0.736","0.826","0.704","0.64","0.765","0.824","0.677","0.476","0.713","0.769","0.602","0.539","0.597","0.942","0.972","0.795","0.945"
PbRatio,"6.368","5.277","5.568","5.677","5.981","5.634","7.028","7.74","7.916","7.532","4.451","4.883","3.563","4.405","6.84","7.235","7.801","6.939","6.181","5.556","5.851","6.122","7.222","8.509","7.541","5.722","3.782","3.365","3.528","4.118","4.128","3.872","4.046","4.125","4.538","4.348","4.377","4.4","3.589","3.399","4.376","4.62","3.992","3.331","3.337","4.432","4.257","4.056","5.318","3.546","5.507","3.303","2.676","4.949","4.458","5.146","4.735","5.571","7.548","7.169","5.804","5.589","4.895","5.571","6.265","7.421","8.024","7.383","8.381","8.554","9.11","8.055","11.064","12.894","17.711","9.873","19.464","25.168","19.401","12.47","14.533","12.458","9.026","11.293","12.253","16.337","12.754","12.593","13.856","50.235","30.442","29.698","46.095","102.783","62.063","40.419","55.576","1,212.925","19.207","7.208","8.713","8.043","7.801","8.336","7.331","8.091","7.33","7.952","8.245","9.783","11.461","8.992","6.973","6.986","6.494","1.091","1.112","1.102","1.196","1.175","1.256","1.399","1.085","1","1.227","1.308","1.251","1.464","1.644","1.763","1.417","1.701","1.881","1.604","1.272","2.339","2.54","2.105","1.901","1.818","2.829","2.791","2.434","5.18"
EnterprisesValueRevenueRatio,"0.914","3.001","2.748","2.49","2.744","2.672","3.265","3.212","3.212","3.533","2.596","2.391","2.044","2.581","2.819","2.693","2.716","3.323","2.971","2.627","2.588","3.391","3.666","3.863","3.214","3.414","2.968","2.615","2.557","3.219","2.894","2.487","2.526","2.713","2.835","2.728","2.628","2.875","2.866","2.563","2.828","3.295","2.954","2.628","2.468","3.235","3.042","2.765","2.957","3.26","2.996","2.748","2.599","3.751","3.541","3.408","3.023","3.645","3.919","3.534","3.106","3.512","3.171","3.316","3.443","4.101","4.07","3.94","4.018","4.63","4.484","3.994","4.268","4.854","4.902","3.705","3.76","3.857","3.907","3.834","3.732","4.533","4.316","4.274","4.194","5.356","5.05","4.787","4.816","5.363","4.233","4.141","4.547","5.046","5.489","4.554","4.466","4.989","4.711","3.695","3.5","4.252","4.137","3.708","3.442","4.131","4.087","3.821","3.53","4.393","4.946","4.191","4.096","4.818","4.435","4.246","4.15","4.914","6.345","3.543","3.745","4.591","4.259","3.647","3.485","4.728","4.524","4.841","4.976","5.406","5.379","5.339","5.324","6.37","5.214","5.975","5.647","7.09","6.012","4.731","4.665","7.42","6.995","3.419"
EnterprisesValueEBITDARatio,"9.181","30.329","24.688","25.339","30.664","42.315","76.615","51.852","50.454","77.82","89.477","28.169","44.354","84.535","35.69","36.998","49.749","79.148","30.442","28.526","33.094","108","58.006","35.478","27.095","52.515","44.395","27.365","25.462","46.877","72.121","23.982","26.225","34.538","37.118","26.78","25.756","31.627","34.557","25.499","27.31","34.724","30.452","21.487","23.207","35.116","32.111","25.108","24.518","30.883","34.252","44.725","19.23","61.477","52.41","33.131","23.868","32.427","40.955","33.58","25.82","37.479","33.286","26.109","24.011","40.742","38.375","30.327","27.502","38.561","37.054","26.894","28.971","40.766","42.406","24.216","24.342","28.697","32.266","25.183","24.164","34.647","38.684","28.135","25.698","38.427","37.86","29.46","30.811","49.438","38","29.236","29.115","55.453","51.855","30.99","25.903","42.385","50.586","26.249","21.3","36.023","37.887","27.86","22.152","31.818","35.841","29.142","24.431","37.481","41.339","29.899","26.209","34.74","33.759","33.131","31.518","39.987","58.121","29.716","26.32","39.986","31.379","27.328","22.599","38.478","34.699","36.129","33.993","5.406","-1.948","5.339","5.324","6.37","-1.447","5.975","5.647","7.09","-1.764","4.731","4.665","7.42","-2.448","3.419"
