MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,date,open,high,low,close,adjclose,volume,ticker
"3,600,340,207","4,667,356,207",,,,,,2021-07-07,388.54998779296875,392.6600036621094,384.0899963378906,384.0899963378906,383.8553771972656,37500.0,COKE
"3,769,441,557","4,836,457,557",17.936,,,0.742,6.668,2021-06-30,400.0,403.7699890136719,396.510009765625,402.1300048828125,401.8843688964844,38800.0,COKE
"3,795,594,149","4,862,610,149",18.061,,,0.747,6.714,2021-05-31,,,,,,,
"2,748,834,298","3,852,832,298",16.025,,,0.552,5.358,2021-04-30,297.7799987792969,299.3500061035156,291.29998779296875,293.25,293.07086181640625,25800.0,COKE
"2,706,933,908","3,810,931,908",15.78,,,0.544,5.277,2021-03-31,294.3500061035156,297.739990234375,288.5899963378906,288.7799987792969,288.3730773925781,34100.0,COKE
"2,405,851,018","3,509,849,018",,,,,,2021-02-26,265.0199890136719,265.0199890136719,256.6600036621094,256.6600036621094,256.29833984375,28000.0,COKE
"2,501,462,646","3,519,743,646",,,,,,2021-01-29,270.3900146484375,272.9200134277344,266.32000732421875,266.8599853515625,266.48394775390625,33900.0,COKE
"2,459,093,571","3,477,374,571",,,,,,2021-01-22,257.0,262.989990234375,255.6300048828125,262.3399963378906,261.9703063964844,22900.0,COKE
"2,391,977,958","3,410,258,958",,,,,,2021-01-15,256.92999267578125,260.9700012207031,254.27999877929688,255.17999267578125,254.57174682617188,23200.0,COKE
"2,553,580,356","3,571,861,356",,,,,,2021-01-08,270.94000244140625,272.5799865722656,269.5199890136719,272.4200134277344,271.7706604003906,27700.0,COKE
"2,495,932,169","3,514,213,169",26.182,,,0.635,5.568,2020-12-31,265.260009765625,267.8900146484375,264.4200134277344,266.2699890136719,265.63531494140625,11000.0,COKE
"2,499,025,487","3,517,306,487",,,,,,2020-12-21,271.6000061035156,271.6000061035156,262.25,266.6000061035156,265.96453857421875,26900.0,COKE
"2,451,969,568","3,470,250,568",,,,,,2020-12-03,257.7699890136719,263.8900146484375,257.7699890136719,261.5799865722656,260.9565124511719,19400.0,COKE
"2,453,000,673","3,471,281,673",25.732,,,0.624,5.473,2020-11-30,264.5,264.5,257.6700134277344,261.69000244140625,261.06622314453125,30800.0,COKE
"2,487,120,901","3,505,401,901",,,,,,2020-11-25,267.95001220703125,270.9599914550781,265.3299865722656,265.3299865722656,264.69757080078125,14800.0,COKE
"2,518,147,812","3,536,428,812",,,,,,2020-11-19,266.44000244140625,272.42999267578125,266.44000244140625,268.6400146484375,267.99969482421875,20100.0,COKE
"2,263,745,893","3,282,026,893",,,,,,2020-11-05,236.3300018310547,244.13999938964844,236.3300018310547,241.5,240.92437744140625,37300.0,COKE
"2,146,106,095","3,197,816,095",,,,,,2020-10-30,230.75,235.4499969482422,228.0500030517578,228.9499969482422,228.40428161621094,26700.0,COKE
"2,187,631,537","3,236,929,537",,,,,,2020-10-28,235.9199981689453,240.00999450683594,232.0399932861328,233.3800048828125,232.82371520996094,31000.0,COKE
"2,344,734,565","3,394,032,565",,,,,,2020-10-22,250.08999633789062,252.0500030517578,248.64999389648438,250.13999938964844,249.5437774658203,16900.0,COKE
"2,271,151,107","3,320,449,107",,,,,,2020-10-09,242.11000061035156,243.9199981689453,240.5,242.2899932861328,241.46978759765625,25000.0,COKE
"2,256,059,467","3,307,769,467",39.848,,,0.581,5.677,2020-09-30,239.11000061035156,241.74000549316406,236.6300048828125,240.67999267578125,239.865234375,26800.0,COKE
"2,247,154,463","3,296,452,463",,,,,,2020-09-24,231.85000610351562,243.42999267578125,230.0,239.72999572753906,238.91845703125,38500.0,COKE
"2,522,459,709","3,571,757,709",,,,,,2020-09-11,270.9599914550781,274.82000732421875,266.4700012207031,269.1000061035156,268.1890563964844,27100.0,COKE
"2,561,829,203","3,613,539,203",45.248,,,0.66,6.446,2020-08-31,278.1499938964844,278.55999755859375,272.6600036621094,273.29998779296875,272.3747863769531,39600.0,COKE
"2,557,048,622","3,606,346,622",,,,,,2020-08-12,272.17999267578125,278.82000732421875,272.17999267578125,272.7900085449219,271.8665466308594,40800.0,COKE
"2,418,692,972","3,467,990,972",,,,,,2020-08-06,266.1300048828125,266.1300048828125,255.0,258.0299987792969,257.1565246582031,57100.0,COKE
"2,151,824,046","3,371,026,046",65.777,,,0.549,5.99,2020-07-31,228.41000366210938,230.69000244140625,226.0,229.55999755859375,228.7828826904297,51700.0,COKE
"2,197,098,964","3,393,009,964",,,,,,2020-07-27,230.72999572753906,236.0,229.72000122070312,234.38999938964844,233.59654235839844,50300.0,COKE
"2,159,510,470","3,355,421,470",,,,,,2020-07-17,226.9499969482422,233.63999938964844,226.9499969482422,230.3800048828125,229.347900390625,39400.0,COKE
"2,136,826,144","3,332,737,144",,,,,,2020-07-14,225.9600067138672,228.9499969482422,224.22000122070312,227.9600067138672,226.9387664794922,35200.0,COKE
"2,148,355,780","3,367,557,780",65.67,,,0.548,5.981,2020-06-30,230.60000610351562,233.0,228.39999389648438,229.19000244140625,228.1632537841797,19700.0,COKE
"2,281,837,113","3,501,039,113",,,,,,2020-05-29,245.25,248.4499969482422,238.5,243.42999267578125,242.33944702148438,40400.0,COKE
"2,314,551,287","3,510,462,287",,,,,,2020-05-28,254.0,256.07000732421875,246.9199981689453,246.9199981689453,245.81381225585938,31300.0,COKE
"2,231,312,928","3,427,223,928",,,,,,2020-05-20,237.00999450683594,238.5,233.44000244140625,238.0399932861328,236.9735870361328,27700.0,COKE
