GDP,Inflation rate,Unemployment rate,Exchange Rate(w RMB),TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,GeneralAndAdministrativeExpense,OtherGandA,SellingAndMarketingExpense,ResearchAndDevelopment,OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,InterestIncomeNonOperating,InterestExpenseNonOperating,OtherIncomeExpense,SpecialIncomeCharges,OtherSpecialCharges,OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,AverageDilutionEarnings,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,date
20742.723,2.633333333,3.766666667,6.81119967,"3,999,374,000","3,999,374,000","2,412,346,000","1,587,028,000","1,106,360,000","1,106,360,000","671,091,000","671,091,000","435,269,000","327,026,000",,"480,668,000","-101,858,000","7,004,000","108,862,000",,,,,"378,810,000","-24,025,000","402,835,000","402,835,000","402,835,000","402,835,000",,"402,835,000",0.92,0.89,"435,809,000","451,919,000","480,668,000","3,518,706,000","402,835,000","402,835,000","7,004,000","108,862,000","-101,858,000","487,672,000",,"2,412,346,000","1,942,887,000","402,835,000",,,"2,430,559,000",0.06,0,,,,,,,,"162,917,716,345","167,353,426,345",170.059,85.47,2.034,12.113,36.284,41.845,68.854,9/30/18
20552.653,2.733333333,3.933333333,6.38216,"3,907,270,000","3,907,270,000","2,289,867,000","1,617,403,000","1,155,190,000","1,155,190,000","628,410,000","628,410,000","526,780,000","317,213,000",,"462,213,000","-33,577,000","68,028,000","101,605,000",,,,,"428,636,000","44,287,000","384,349,000","384,349,000","384,349,000","384,349,000",,"384,349,000",0.88,0.85,"435,097,000","451,552,000","462,213,000","3,445,057,000","384,349,000","384,349,000","68,028,000","101,605,000","-33,577,000","530,241,000",,"2,289,867,000","1,848,707,000","384,349,000",,,"2,378,948,000",0.1,0,,,,,,,,"170,151,708,369","174,100,415,369",262.705,135.135,3.773,13.748,42.393,44.558,73.184,6/30/18
20242.215,2.233333333,4.033333333,6.357802,"3,700,856,000","3,700,856,000","2,196,075,000","1,504,781,000","1,058,203,000","1,058,203,000","578,981,000","578,981,000","479,222,000","300,730,000",,"446,578,000","-146,962,000","-65,743,000","146,962,000",,,,,"299,616,000","9,492,000","290,124,000","290,124,000","290,124,000","290,124,000",,"290,124,000",0.67,0.64,"434,174,000","450,359,000","446,578,000","3,254,278,000","290,124,000","290,124,000","-65,743,000","146,962,000","-146,962,000","446,578,000",,"2,196,075,000","1,779,019,000","290,124,000",,,"2,225,597,000",0.03,0,,,,,,,,"128,166,677,956","131,843,314,956",236.28,109.89,3.193,11.286,35.84,35.625,59.24,3/31/18
19937.963,2.1,4.133333333,6.61358333,"3,285,755,000","3,285,755,000","2,107,354,000","1,178,401,000","933,098,000","933,098,000","513,159,000","513,159,000","419,939,000","273,351,000",,"245,303,000","-113,973,000","-38,681,000","113,973,000",,,,,"131,330,000","-54,187,000","185,517,000","185,517,000","185,517,000","185,517,000",,"185,517,000",0.43,0.41,"433,108,000","448,142,000","245,303,000","3,040,452,000","185,517,000","185,517,000","-38,681,000","113,973,000","-113,973,000","245,303,000",,"2,107,354,000","1,745,225,000","185,517,000",,,"1,990,528,000",0.4,0,,,,,,,,"83,067,067,714","86,209,381,714",191.96,87.719,1.496,7.844,25.003,26.237,43.31,12/31/17
19617.288,1.933333333,4.3,6.66638533,"2,984,859,000","2,984,859,000","1,992,980,000","991,879,000","783,252,000","783,252,000","470,762,000","470,762,000","312,490,000","255,236,000",,"208,627,000","-92,390,000","-31,702,000","92,390,000",,,,,"116,237,000","-13,353,000","129,590,000","129,590,000","129,590,000","129,590,000",,"129,590,000",0.3,0.29,"432,404,000","447,362,000","208,627,000","2,776,232,000","129,590,000","129,590,000","-31,702,000","92,390,000","-92,390,000","208,627,000",,"1,992,980,000","1,659,974,000","129,590,000",,,"1,868,601,000",0.11,0,,,,,,,,"78,297,816,074","80,969,416,074",221.159,104.167,2.19,7.876,25.213,27.127,43.332,9/30/17
19379.232,1.9,4.4,6.86165733,"2,785,464,000","2,785,464,000","1,902,308,000","883,156,000","755,349,000","755,349,000","481,026,000","481,026,000","274,323,000","267,083,000",,"127,807,000","-113,845,000","-58,363,000","113,845,000",,,,,"13,962,000","-51,638,000","65,600,000","65,600,000","65,600,000","65,600,000",,"65,600,000",0.15,0.15,"431,396,000","446,262,000","127,807,000","2,657,657,000","65,600,000","65,600,000","-58,363,000","113,845,000","-113,845,000","127,807,000",,"1,902,308,000","1,585,856,000","65,600,000",,,"1,713,663,000",0.4,0,149.7599945,150.7100067,148.4199982,149.4100037,149.4100037,5213300,NFLX,"64,507,729,251","66,531,931,251",194.039,142.857,2.911,6.921,21.693,23.885,38.824,6/30/17
19237.435,2.533333333,4.566666667,6.887835,"2,636,635,000","2,636,635,000","1,657,024,000","979,611,000","722,669,000","722,669,000","451,399,000","451,399,000","271,270,000","257,108,000",,"256,942,000","-33,150,000","13,592,000","46,742,000",,,,,"223,792,000","45,570,000","178,222,000","178,222,000","178,222,000","178,222,000",,"178,222,000",0.41,0.4,"430,600,000","445,458,000","256,942,000","2,379,693,000","178,222,000","178,222,000","13,592,000","46,742,000","-33,150,000","270,534,000",,"1,657,024,000","1,339,330,000","178,222,000",,,"1,609,864,000",0.2,0,148,148.2299957,147.3300018,147.8099976,147.8099976,3888200,NFLX,"63,705,138,740","65,335,667,740",343.744,140.845,2.509,7.342,23.772,24.78,40.585,3/31/17
19032.58,1.8,4.766666667,6.83151767,"2,477,541,000","2,477,541,000","1,654,419,000","823,122,000","669,188,000","669,188,000","384,192,000","384,192,000","284,996,000","225,191,000",,"153,934,000","-63,665,000","-20,079,000","43,586,000",,,,,"90,269,000","23,521,000","66,748,000","66,748,000","66,748,000","66,748,000",,"66,748,000",0.16,0.15,"429,738,000","440,063,000","153,934,000","2,323,607,000","66,748,000","66,748,000","-20,079,000","43,586,000","-63,665,000","133,855,000",,"1,654,419,000","1,363,903,000","66,748,000",,,"1,497,758,000",0.261,0,,,,,,,,"53,128,153,847","54,158,863,847",334.595,153.846,2.547,6.635,21.052,21.86,36.16,12/31/16
18821.359,1.133333333,4.9,6.667625,"2,290,188,000","2,290,188,000","1,532,844,000","757,344,000","651,308,000","651,308,000","369,265,000","369,265,000","282,043,000","216,099,000",,"106,036,000","-26,909,000","8,627,000","35,536,000",,,,,"79,127,000","27,610,000","51,517,000","51,517,000","51,517,000","51,517,000",,"51,517,000",0.12,0.12,"428,937,000","438,389,000","106,036,000","2,184,152,000","51,517,000","51,517,000","8,627,000","35,536,000","-26,909,000","114,663,000",,"1,532,844,000","1,257,802,000","51,517,000",,,"1,372,465,000",0.35,0,96.90000153,99.52999878,96.79000092,98.55000305,98.55000305,9807900,NFLX,"42,292,242,016","42,831,099,016",307.969,125,2.088,5.661,17.506,18.702,31.207,9/30/16
18656.207,1.033333333,4.933333333,6.53039333,"2,105,204,000","2,105,204,000","1,473,098,000","632,106,000","561,736,000","561,736,000","345,707,000","345,707,000","216,029,000","207,300,000",,"70,370,000","-19,138,000","16,317,000","35,455,000",,,,,"51,232,000","10,477,000","40,755,000","40,755,000","40,755,000","40,755,000",,"40,755,000",0.1,0.09,"428,483,000","438,154,000","70,370,000","2,034,834,000","40,755,000","40,755,000","16,317,000","35,455,000","-19,138,000","86,687,000",,"1,473,098,000","1,209,513,000","40,755,000",,,"1,296,200,000",0.2,0,90.91000366,91.72000122,89.90000153,91.48000336,91.48000336,9099000,NFLX,"39,219,798,494","39,519,545,494",315.448,344.828,5.334,5.587,16.925,18.772,30.489,6/30/16
18470.156,1.1,4.9,6.540867,"1,957,736,000","1,957,736,000","1,369,540,000","588,196,000","538,743,000","538,743,000","330,733,000","330,733,000","208,010,000","203,508,000",,"49,453,000","-9,574,000","25,963,000","35,537,000",,,,,"39,879,000","12,221,000","27,658,000","27,658,000","27,658,000","27,658,000",,"27,658,000",0.06,0.06,"428,117,000","437,993,000","49,453,000","1,908,283,000","27,658,000","27,658,000","25,963,000","35,537,000","-9,574,000","75,416,000",,"1,369,540,000","1,093,760,000","27,658,000",,,"1,169,176,000",0.31,0,102.4300003,103.5299988,101.0500031,102.2300034,102.2300034,9747500,NFLX,"43,784,006,551","43,844,653,551",365.107,120.482,1.938,6.581,19.692,22.396,37.5,3/31/16
18378.803,0.466666667,5.033333333,6.38993,"1,823,333,000","1,823,333,000","1,249,365,000","573,968,000","514,074,000","514,074,000","289,901,000","289,901,000","224,173,000","180,859,000",,"59,894,000","-39,163,000","-3,734,000","39,163,000",,,,,"20,731,000","-22,447,000","43,178,000","43,178,000","43,178,000","43,178,000",,"43,178,000",0.1,0.1,"427,668,000","438,257,000","59,894,000","1,763,439,000","43,178,000","43,178,000","-3,734,000","39,163,000","-39,163,000","59,894,000",,"1,249,365,000","996,142,000","43,178,000",,,"1,056,036,000",0.4,0,116.2099991,117.4599991,114.2799988,114.3799973,114.3799973,9273000,NFLX,"48,947,827,527","48,738,185,527",303.28,434.783,15.939,7.725,22.585,26.73,46.152,12/31/15
18347.425,0.133333333,5.1,6.301371,"1,738,355,000","1,738,355,000","1,173,958,000","564,397,000","490,756,000","490,756,000","282,654,000","282,654,000","208,102,000","171,762,000",,"73,641,000","-31,403,000","3,930,000","35,333,000",,,,,"42,238,000","12,806,000","29,432,000","29,432,000","29,432,000","29,432,000",,"29,432,000",0.07,0.07,"426,869,000","437,606,000","73,641,000","1,664,714,000","29,432,000","29,432,000","3,930,000","35,333,000","-31,403,000","77,571,000",,"1,173,958,000","906,039,000","29,432,000",,,"983,610,000",0.3,0,99.91000366,103.4599991,99.05000305,103.2600021,103.2600021,17027600,NFLX,"44,132,114,618","43,735,356,618",230.933,434.783,14.81,7.329,21.718,25.159,44.464,9/30/15
18223.577,-0.033333333,5.433333333,6.20358667,"1,644,694,000","1,644,694,000","1,121,752,000","522,942,000","448,107,000","448,107,000","250,967,000","250,967,000","197,140,000","155,061,000",,"74,835,000","-34,345,000","872,000","35,217,000",,,,,"40,490,000","14,155,000","26,335,000","26,335,000","26,335,000","26,335,000",,"26,335,000",0.06,0.06,"425,339,999","436,096,999","74,835,000","1,569,859,000","26,335,000","26,335,000","872,000","35,217,000","-34,345,000","75,707,000",,"1,121,752,000","858,994,000","26,335,000",,,"934,701,000",0.35,0,93.35713959,94.35571289,92.7857132,93.84857178,93.84857178,16880500,NFLX,"39,979,944,811","39,422,236,811",171.078,166.667,5.807,6.991,20.941,23.969,42.176,6/30/15
18003.399,-0.066666667,5.533333333,6.23652833,"1,573,129,000","1,573,129,000","1,046,401,000","526,728,000","429,272,000","429,272,000","234,595,000","234,595,000","194,677,000","143,106,000",,"97,456,000","-59,030,000","-32,293,000","59,030,000",,,,,"38,426,000","14,730,000","23,696,000","23,696,000","23,696,000","23,696,000",,"23,696,000",0.056,0.054,"423,626,000","433,811,000","97,456,000","1,475,673,000","23,696,000","23,696,000","-32,293,000","59,030,000","-59,030,000","97,456,000",,"1,046,401,000","785,870,000","23,696,000",,,"883,326,000",0.38,0,60.11000061,60.41999817,59.45571518,59.52714157,59.52714157,14248500,NFLX,"25,260,048,233","24,551,552,233",96.456,67.568,2.339,4.67,13.597,15.607,27.794,3/31/15
17849.912,1.266666667,5.7,6.147504,"1,484,728,000","1,484,728,000","1,014,332,000","470,396,000","405,350,000","405,350,000","201,679,000","201,679,000","203,671,000","125,876,000",,"65,046,000","-19,530,000","-6,177,000","16,413,000",,0,,,"45,516,000","-37,855,000","83,371,000","83,371,000","83,371,000","83,371,000",0,"83,371,000",0.197,0.193,"422,247,000","432,516,000","65,046,000","1,419,682,000","83,371,000","83,371,000","-6,177,000","16,413,000","-19,530,000","61,929,000",,"1,014,332,000","764,843,000","83,371,000",0,0,"826,772,000",0.35,0,49.03285599,49.3914299,48.78714371,48.80142975,48.80142975,8627500,NFLX,"20,638,655,444","19,871,836,444",90.854,64.935,1.401,4.049,11.965,13.384,24.035,12/31/14
17721.657,1.8,6.066666667,6.14402333,"1,409,432,000","1,409,432,000","954,394,000","455,038,000","344,631,000","344,631,000","198,977,000","198,977,000","145,654,000","120,953,000",,"110,407,000","-12,870,000","616,000","13,486,000",,0,,,"97,537,000","38,242,000","59,295,000","59,295,000","59,295,000","59,295,000",0,"59,295,000",0.141,0.137,"421,197,000","432,740,000","110,407,000","1,299,025,000","59,295,000","59,295,000","616,000","13,486,000","-12,870,000","111,023,000",,"954,394,000","718,780,000","59,295,000",0,0,"829,803,000",0.39,0,64.61428833,65.31285858,64.25714111,64.45428467,64.45428467,12472600,NFLX,"27,181,961,277","26,367,596,277",135.084,65.36,1.263,5.661,16.886,18.708,31.776,9/30/14
17432.909,2.066666667,6.2,6.23258167,"1,340,407,000","1,340,407,000","914,848,000","425,559,000","295,959,000","295,959,000","175,196,000","175,196,000","120,763,000","115,182,000",,"129,600,000","-12,228,000","1,100,000","13,328,000",,0,,,"117,372,000","46,354,000","71,018,000","71,018,000","71,018,000","71,018,000",0,"71,018,000",0.169,0.164,"419,972,000","431,438,000","129,600,000","1,210,807,000","71,018,000","71,018,000","1,100,000","13,328,000","-12,228,000","130,700,000",,"914,848,000","668,937,000","71,018,000",0,0,"799,637,000",0.39,0,63.26571274,63.83856964,62.81285858,62.94285583,62.94285583,10588900,NFLX,"26,476,101,208","25,707,858,208",165.639,72.464,1.403,5.827,17.909,19.179,32.149,6/30/14
17104.555,1.4,6.666666667,6.106293,"1,270,089,000","1,270,089,000","869,186,000","400,903,000","303,308,000","303,308,000","166,210,000","166,210,000","137,098,000","110,310,000",,"97,595,000","-8,651,000","1,401,000","10,052,000",,0,,,"88,944,000","35,829,000","53,115,000","53,115,000","53,115,000","53,115,000",0,"53,115,000",0.127,0.123,"418,719,000","430,836,000","97,595,000","1,172,494,000","53,115,000","53,115,000","1,401,000","10,052,000","-8,651,000","98,996,000",,"869,186,000","629,238,000","53,115,000",0,0,"728,234,000",0.4,0,51.64428711,52.40856934,49.98285675,50.29000092,50.29000092,22125600,NFLX,"21,100,796,482","20,400,391,482",190.286,53.192,1.034,4.89,15.823,16.062,28.014,3/31/14
17083.137,1.233333333,6.933333333,6.10315433,"1,175,230,000","1,175,230,000","811,849,000","363,381,000","281,093,000","281,093,000","144,248,000","144,248,000","136,845,000","98,128,000",,"82,288,000","-8,284,000","-846,000","8,284,000",0,0,0,,"74,004,000","25,583,000","48,421,000","48,421,000","48,421,000","48,421,000",0,"48,421,000",0.116,0.113,"416,290,000","429,128,000","82,288,000","1,092,942,000","48,421,000","48,421,000","-846,000","8,284,000","-8,284,000","82,288,000",,"811,849,000","603,275,000","48,421,000",0,0,"685,563,000",0.346,0,52.2142868,52.73571396,51.94714355,52.59571457,52.59571457,10516800,NFLX,"21,945,509,558","21,310,522,558",309.387,86.957,0.818,5.349,18.222,18.133,31.085,12/31/13
16848.748,1.566666667,7.233333333,6.12745333,"1,105,999,000","1,105,999,000","791,019,000","314,980,000","257,860,000","257,860,000","141,751,000","141,751,000","116,109,000","95,540,000",,"57,120,000","-7,629,000","-193,000","7,629,000",,0,,,"49,491,000","17,669,000","31,822,000","31,822,000","31,822,000","31,822,000",0,"31,822,000",0.077,0.074,"413,756,000","426,930,000","57,120,000","1,048,879,000","31,822,000","31,822,000","-193,000","7,629,000","-7,629,000","57,120,000",,"791,019,000","582,392,000","31,822,000",0,0,"639,512,000",0.36,0,43.95999908,44.59285736,43.59999847,44.17285538,44.17285538,12528600,NFLX,"18,323,103,719","17,742,993,719",391.406,86.957,0.95,4.677,16.573,16.043,27.745,9/30/13
16637.926,1.433333333,7.533333333,6.156055,"1,069,372,000","1,069,372,000","753,525,000","315,847,000","258,730,000","258,730,000","136,970,000","136,970,000","121,760,000","93,126,000",,"57,117,000","-10,468,000","-2,940,000","10,468,000",,0,,,"46,649,000","17,178,000","29,471,000","29,471,000","29,471,000","29,471,000",0,"29,471,000",0.073,0.07,"407,344,000","424,130,000","57,117,000","1,012,255,000","29,471,000","29,471,000","-2,940,000","10,468,000","-10,468,000","57,117,000",,"753,525,000","539,985,000","29,471,000",0,0,"597,102,000",0.368,0,,,,,,,,"11,851,793,913","11,525,921,913",502.595,71.942,0.784,3.37,15.3,10.778,19.303,6/30/13
16569.591,1.7,7.733333333,6.224613,"1,023,961,000","1,023,961,000","726,863,000","297,098,000","265,276,000","265,276,000","136,101,000","136,101,000","129,175,000","91,975,000",,"31,822,000","-5,763,000","977,000","6,740,000","-25,129,000","-25,129,000","25,129,000",,"930,000","-1,759,000","2,689,000","2,689,000","2,689,000","2,689,000","49,000","2,738,000",0.007,0.007,"391,804,000","421,022,000","31,822,000","992,139,000","2,689,000","19,022,850","977,000","6,740,000","-5,763,000","7,670,000",,"726,863,000","516,028,000","2,689,000","-25,129,000","-25,129,000","548,827,000",0.35,"-8,795,150",,,,,,,,"10,598,445,326","10,250,367,326",652.683,46.729,,3.089,14.271,10.011,19.573,3/31/13
16358.863,1.9,7.8,6.25010967,"945,239,000","945,239,000","695,867,000","249,372,000","229,734,000","476,603,000","359,231,000","359,231,000","117,372,000","82,139,000",,"19,638,000","-4,734,000","282,000","5,016,000",,,,,"14,904,000","7,007,000","7,897,000","7,897,000","7,897,000","7,897,000",,"8,092,000",0.02,0.019,"388,934,000","413,903,000","19,638,000","925,601,000","7,897,000","7,897,000","282,000","5,016,000","-4,734,000","19,920,000",,"695,867,000","492,415,000","7,897,000",,,"512,335,000",0.35,0,12.7685709,13.3571434,12.71571445,13.22714329,13.22714329,18078900,NFLX,"5,146,815,792","4,798,737,792",319.273,119.048,,1.511,6.912,5.077,9.366,12/31/12
16257.151,1.7,8.033333333,6.353122,"905,089,000","905,089,000","662,638,000","242,451,000","226,316,000","143,795,000","30,562,000","30,562,000","113,233,000","82,521,000",,"16,135,000","-4,189,000","801,000","4,990,000","801,000","801,000",,,"11,946,000","4,271,000","7,675,000","7,675,000","7,675,000","7,675,000",,"7,675,000",0.02,0.019,"388,787,000","411,103,000","16,135,000","888,954,000","7,675,000","7,675,000","801,000","4,990,000","-4,189,000","16,936,000",,"662,638,000","435,207,000","7,675,000","801,000","801,000","452,143,000",0.358,0,,,,,,,,"3,023,285,441","2,609,942,441",29.912,39.841,,0.894,4.394,2.884,5.772,9/30/12
