TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,		GeneralAndAdministrativeExpense,			SalariesAndWages,			RentAndLandingFees,			OtherGandA,		SellingAndMarketingExpense,	DepreciationAmortizationDepletionIncomeStatement,		DepreciationAndAmortizationInIncomeStatement,			DepreciationIncomeStatement,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,OtherIncomeExpense,	SpecialIncomeCharges,		RestructuringAndMergernAcquisition,		ImpairmentOfCapitalAssets,		OtherSpecialCharges,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeDiscontinuousOperations,			NetIncomeExtraordinary,			NetIncomeFromTaxLossCarryforward,		MinorityInterests,	PreferredStockDividends,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,RentExpenseSupplemental,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
"4,008,000,000","3,494,000,000","6,164,000,000","-2,156,000,000","867,000,000","151,000,000",,,,,"151,000,000",,,,"716,000,000","-3,023,000,000","-367,000,000","4,000,000","371,000,000","1,817,000,000","1,708,000,000","168,000,000",,"-1,876,000,000","109,000,000","-1,573,000,000","-323,000,000","-1,250,000,000","-1,250,000,000","-1,250,000,000","-1,250,000,000",,,,,,"-1,250,000,000",-1.97,-1.97,"634,609,000","634,609,000","-1,315,000,000","921,000,000","7,031,000,000","-1,250,000,000","-2,607,279,084.552","4,000,000","371,000,000","-367,000,000","-1,202,000,000",,"6,164,000,000",,"-1,250,000,000","1,708,000,000","1,708,000,000","-2,910,000,000",0.205,"350,720,915.448",24.030000686645508,24.1200008392334,23.610000610351562,23.899999618530273,23.899999618530273,29800300.0,AAL,"15,328,849,952","49,485,849,952",,,,0.667,,12.347,-41.17
"4,028,000,000","3,475,000,000","5,883,000,000","-1,855,000,000","678,000,000","95,000,000",,,,,"95,000,000",,,,"583,000,000","-2,533,000,000","-371,000,000","5,000,000","376,000,000","95,000,000","18,000,000",0,0,"-18,000,000","77,000,000","-2,809,000,000","-631,000,000","-2,178,000,000","-2,178,000,000","-2,178,000,000","-2,178,000,000",,,,,,"-2,178,000,000",-3.81,-3.81,"571,984,000","571,984,000","-2,515,000,000","825,000,000","6,561,000,000","-2,178,000,000","-2,191,956,568.174","5,000,000","376,000,000","-371,000,000","-2,433,000,000",,"5,883,000,000",,"-2,178,000,000","18,000,000","18,000,000","-2,451,000,000",0.225,"4,043,431.826",16.079999923706055,16.09000015258789,15.630000114440918,15.770000457763672,15.770000457763672,57891100.0,AAL,"9,800,732,061","42,721,732,061",,,,0.288,,10.606,-17.559
"3,173,000,000","2,747,000,000","5,610,000,000","-2,437,000,000","729,000,000","70,000,000",,,,,"70,000,000",,,,"659,000,000","-3,166,000,000","-335,000,000","5,000,000","340,000,000","406,000,000","295,000,000","871,000,000","742,000,000","-1,908,000,000","111,000,000","-3,095,000,000","-696,000,000","-2,399,000,000","-2,399,000,000","-2,399,000,000","-2,399,000,000",,,,,,"-2,399,000,000",-4.71,-4.71,"509,049,000","509,049,000","-2,871,000,000","818,000,000","6,339,000,000","-2,399,000,000","-2,627,660,743.134","5,000,000","340,000,000","-335,000,000","-2,755,000,000",,"5,610,000,000",,"-2,399,000,000","295,000,000","295,000,000","-3,050,000,000",0.225,"66,339,256.866",12.319999694824219,12.920000076293945,12.220000267028809,12.289999961853027,12.289999961853027,65428100.0,AAL,"6,250,741,869","36,486,741,869",,,,0.16,,11.499,-13.244
"1,622,000,000","1,238,000,000","4,946,000,000","-3,324,000,000","588,000,000","43,000,000",,,,,"43,000,000",,,,"545,000,000","-3,912,000,000","-244,000,000","10,000,000","254,000,000","1,542,000,000","1,471,000,000","332,000,000",0,"-1,803,000,000","71,000,000","-2,659,000,000","-592,000,000","-2,067,000,000","-2,067,000,000","-2,067,000,000","-2,067,000,000",,,,,,"-2,067,000,000",-4.82,-4.82,"428,807,000","428,807,000","-2,486,000,000","750,000,000","5,534,000,000","-2,067,000,000","-3,210,496,427.228","10,000,000","254,000,000","-244,000,000","-2,405,000,000",,"4,946,000,000",,"-2,067,000,000","1,471,000,000","1,471,000,000","-3,876,000,000",0.223,"327,503,572.772",13.100000381469727,13.479999542236328,12.880000114440918,13.069999694824219,13.069999694824219,69607700.0,AAL,"6,646,828,932","37,143,828,932",,,,0.131,,22.9,-15.444
"8,515,000,000","7,828,000,000","8,450,000,000","65,000,000","1,715,000,000","305,000,000",,,,,"305,000,000",,,,"1,410,000,000","-1,650,000,000","-236,000,000","21,000,000","257,000,000","-1,004,000,000","-899,000,000","205,000,000","744,000,000","-50,000,000","-105,000,000","-2,890,000,000","-649,000,000","-2,241,000,000","-2,241,000,000","-2,241,000,000","-2,241,000,000",,,,,,"-2,241,000,000",-5.26,-5.26,"425,713,000","425,713,000","-2,549,000,000","960,000,000","10,165,000,000","-2,241,000,000","-1,543,886,159.17","21,000,000","257,000,000","-236,000,000","-2,633,000,000",,"8,450,000,000",,"-2,241,000,000","-899,000,000","-899,000,000","-1,734,000,000",0.225,"-201,886,159.17",12.899999618530273,12.960000038146973,12.100000381469727,12.1899995803833,12.1899995803833,44851400.0,AAL,"5,154,986,837","34,772,986,837",3.216,8.467,,0.118,,4.084,-13.207
"11,313,000,000","10,563,000,000","8,800,000,000","2,513,000,000","1,637,000,000","408,000,000",,,,,"408,000,000",,,,"1,229,000,000","876,000,000","-241,000,000","24,000,000","265,000,000","-64,000,000","-147,000,000","128,000,000","12,000,000","7,000,000","83,000,000","571,000,000","157,000,000","414,000,000","414,000,000","414,000,000","414,000,000",,,,,,"414,000,000",0.95,0.95,"434,578,000","435,659,000","729,000,000","979,000,000","10,437,000,000","414,000,000","520,581,436.077","24,000,000","265,000,000","-241,000,000","836,000,000",,"8,800,000,000",,"414,000,000","-147,000,000","-147,000,000","983,000,000",0.275,"-40,418,563.923",28.200000762939453,28.790000915527344,28.190000534057617,28.68000030517578,28.574403762817383,4396800.0,AAL,"12,280,847,872","41,552,847,872",8.102,4.988,0.779,0.285,76.755,3.673,49.704
"11,911,000,000","11,203,000,000","9,115,000,000","2,796,000,000","1,761,000,000","424,000,000",,,,,"424,000,000",,,,"1,337,000,000","1,035,000,000","-250,000,000","34,000,000","284,000,000","-228,000,000","-227,000,000","101,000,000","201,000,000","-75,000,000","-1,000,000","557,000,000","132,000,000","425,000,000","425,000,000","425,000,000","425,000,000",,,,,,"425,000,000",0.96,0.96,"441,915,000","442,401,000","808,000,000","1,040,000,000","10,876,000,000","425,000,000","598,204,667.864","34,000,000","284,000,000","-250,000,000","841,000,000",,"9,115,000,000",,"425,000,000","-227,000,000","-227,000,000","1,068,000,000",0.237,"-53,795,332.136",27.350000381469727,27.40999984741211,26.81999969482422,26.969999313354492,26.78388023376465,5109800.0,AAL,"11,813,811,717","41,154,811,717",7.956,4.615,0.676,0.273,,3.455,48.936
"11,960,000,000","11,232,000,000","9,014,000,000","2,946,000,000","1,672,000,000","401,000,000",,,,,"401,000,000",,,,"1,271,000,000","1,274,000,000","-240,000,000","35,000,000","275,000,000","-152,000,000","-121,000,000","116,000,000",0,"5,000,000","-31,000,000","882,000,000","220,000,000","662,000,000","662,000,000","662,000,000","662,000,000",,,,,,"662,000,000",1.49,1.49,"445,008,000","445,587,000","1,153,000,000","1,039,000,000","10,686,000,000","662,000,000","752,818,594.104","35,000,000","275,000,000","-240,000,000","1,157,000,000",,"9,014,000,000",,"662,000,000","-121,000,000","-121,000,000","1,278,000,000",0.249,"-30,181,405.896",,,,,,,,"14,506,073,100","43,601,073,100",10.519,6.281,0.345,0.336,,3.646,37.685
"10,584,000,000","9,876,000,000","8,450,000,000","2,134,000,000","1,639,000,000","370,000,000",,,,,"370,000,000",,,,"1,269,000,000","495,000,000","-238,000,000","33,000,000","271,000,000","-12,000,000","-120,000,000","120,000,000",,,"108,000,000","245,000,000","60,000,000","185,000,000","185,000,000","185,000,000","185,000,000",,,,,,"185,000,000",0.41,0.41,"451,951,000","453,429,000","375,000,000","1,004,000,000","10,089,000,000","185,000,000","275,612,244.898","33,000,000","271,000,000","-238,000,000","516,000,000",,"8,450,000,000",,"185,000,000","-120,000,000","-120,000,000","636,000,000",0.245,"-29,387,755.102",,,,,,,,"14,262,004,204","43,531,004,204",10.482,5.144,0.203,0.332,1.199,4.113,84.362
"10,938,000,000","10,227,000,000","8,577,000,000","2,361,000,000","1,585,000,000","384,000,000",,,,,"384,000,000",,,,"1,201,000,000","776,000,000","-227,000,000","34,000,000","261,000,000","-163,000,000","-228,000,000","265,000,000",0,"-37,000,000","65,000,000","386,000,000","68,000,000","318,000,000","318,000,000","318,000,000","318,000,000",,,,,,"318,000,000",0.71,0.7,"460,589,000","461,915,000","548,000,000","957,000,000","10,162,000,000","318,000,000","505,834,196.891","34,000,000","261,000,000","-227,000,000","647,000,000",,"8,577,000,000",,"318,000,000","-228,000,000","-228,000,000","875,000,000",0.176,"-40,165,803.109",32.09000015258789,32.619998931884766,31.68000030517578,32.11000061035156,31.599044799804688,5334700.0,AAL,"14,790,215,035","34,702,215,035",12.948,6.161,0.279,0.345,,3.173,53.636
