TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,		GeneralAndAdministrativeExpense,			OtherGandA,		SellingAndMarketingExpense,	ResearchAndDevelopment,	OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestIncomeNonOperating,	InterestExpenseNonOperating,OtherIncomeExpense,	SpecialIncomeCharges,		OtherSpecialCharges,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,AverageDilutionEarnings,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio
"1,957,736,000","1,957,736,000","1,369,540,000","588,196,000","538,743,000","538,743,000","330,733,000","330,733,000","208,010,000","203,508,000",,"49,453,000","-9,574,000","25,963,000","35,537,000",,,,,"39,879,000","12,221,000","27,658,000","27,658,000","27,658,000","27,658,000",,"27,658,000",0.06,0.06,"428,117,000","437,993,000","49,453,000","1,908,283,000","27,658,000","27,658,000","25,963,000","35,537,000","-9,574,000","75,416,000",,"1,369,540,000","1,093,760,000","27,658,000",,,"1,169,176,000",0.31,0,102.43000030517578,103.52999877929688,101.05000305175781,102.2300033569336,102.2300033569336,9747500.0,NFLX,"43,784,006,551","43,844,653,551",365.107,120.482,1.938,6.581,19.692,22.396,37.5
"1,823,333,000","1,823,333,000","1,249,365,000","573,968,000","514,074,000","514,074,000","289,901,000","289,901,000","224,173,000","180,859,000",,"59,894,000","-39,163,000","-3,734,000","39,163,000",,,,,"20,731,000","-22,447,000","43,178,000","43,178,000","43,178,000","43,178,000",,"43,178,000",0.1,0.1,"427,668,000","438,257,000","59,894,000","1,763,439,000","43,178,000","43,178,000","-3,734,000","39,163,000","-39,163,000","59,894,000",,"1,249,365,000","996,142,000","43,178,000",,,"1,056,036,000",0.4,0,116.20999908447266,117.45999908447266,114.27999877929688,114.37999725341797,114.37999725341797,9273000.0,NFLX,"48,947,827,527","48,738,185,527",303.28,434.783,15.939,7.725,22.585,26.73,46.152
"1,738,355,000","1,738,355,000","1,173,958,000","564,397,000","490,756,000","490,756,000","282,654,000","282,654,000","208,102,000","171,762,000",,"73,641,000","-31,403,000","3,930,000","35,333,000",,,,,"42,238,000","12,806,000","29,432,000","29,432,000","29,432,000","29,432,000",,"29,432,000",0.07,0.07,"426,869,000","437,606,000","73,641,000","1,664,714,000","29,432,000","29,432,000","3,930,000","35,333,000","-31,403,000","77,571,000",,"1,173,958,000","906,039,000","29,432,000",,,"983,610,000",0.3,0,99.91000366210938,103.45999908447266,99.05000305175781,103.26000213623047,103.26000213623047,17027600.0,NFLX,"44,132,114,618","43,735,356,618",230.933,434.783,14.81,7.329,21.718,25.159,44.464
"1,644,694,000","1,644,694,000","1,121,752,000","522,942,000","448,107,000","448,107,000","250,967,000","250,967,000","197,140,000","155,061,000",,"74,835,000","-34,345,000","872,000","35,217,000",,,,,"40,490,000","14,155,000","26,335,000","26,335,000","26,335,000","26,335,000",,"26,335,000",0.06,0.06,"425,339,999","436,096,999","74,835,000","1,569,859,000","26,335,000","26,335,000","872,000","35,217,000","-34,345,000","75,707,000",,"1,121,752,000","858,994,000","26,335,000",,,"934,701,000",0.35,0,93.35713958740234,94.355712890625,92.78571319580078,93.84857177734375,93.84857177734375,16880500.0,NFLX,"39,979,944,811","39,422,236,811",171.078,166.667,5.807,6.991,20.941,23.969,42.176
"1,573,129,000","1,573,129,000","1,046,401,000","526,728,000","429,272,000","429,272,000","234,595,000","234,595,000","194,677,000","143,106,000",,"97,456,000","-59,030,000","-32,293,000","59,030,000",,,,,"38,426,000","14,730,000","23,696,000","23,696,000","23,696,000","23,696,000",,"23,696,000",0.056,0.054,"423,626,000","433,811,000","97,456,000","1,475,673,000","23,696,000","23,696,000","-32,293,000","59,030,000","-59,030,000","97,456,000",,"1,046,401,000","785,870,000","23,696,000",,,"883,326,000",0.38,0,60.11000061035156,60.41999816894531,59.45571517944336,59.52714157104492,59.52714157104492,14248500.0,NFLX,"25,260,048,233","24,551,552,233",96.456,67.568,2.339,4.67,13.597,15.607,27.794
"1,484,728,000","1,484,728,000","1,014,332,000","470,396,000","405,350,000","405,350,000","201,679,000","201,679,000","203,671,000","125,876,000",,"65,046,000","-19,530,000","-6,177,000","16,413,000",,0,,,"45,516,000","-37,855,000","83,371,000","83,371,000","83,371,000","83,371,000",0,"83,371,000",0.197,0.193,"422,247,000","432,516,000","65,046,000","1,419,682,000","83,371,000","83,371,000","-6,177,000","16,413,000","-19,530,000","61,929,000",,"1,014,332,000","764,843,000","83,371,000",0,0,"826,772,000",0.35,0,49.03285598754883,49.39142990112305,48.78714370727539,48.801429748535156,48.801429748535156,8627500.0,NFLX,"20,638,655,444","19,871,836,444",90.854,64.935,1.401,4.049,11.965,13.384,24.035
"1,409,432,000","1,409,432,000","954,394,000","455,038,000","344,631,000","344,631,000","198,977,000","198,977,000","145,654,000","120,953,000",,"110,407,000","-12,870,000","616,000","13,486,000",,0,,,"97,537,000","38,242,000","59,295,000","59,295,000","59,295,000","59,295,000",0,"59,295,000",0.141,0.137,"421,197,000","432,740,000","110,407,000","1,299,025,000","59,295,000","59,295,000","616,000","13,486,000","-12,870,000","111,023,000",,"954,394,000","718,780,000","59,295,000",0,0,"829,803,000",0.39,0,64.61428833007812,65.31285858154297,64.25714111328125,64.45428466796875,64.45428466796875,12472600.0,NFLX,"27,181,961,277","26,367,596,277",135.084,65.36,1.263,5.661,16.886,18.708,31.776
"1,340,407,000","1,340,407,000","914,848,000","425,559,000","295,959,000","295,959,000","175,196,000","175,196,000","120,763,000","115,182,000",,"129,600,000","-12,228,000","1,100,000","13,328,000",,0,,,"117,372,000","46,354,000","71,018,000","71,018,000","71,018,000","71,018,000",0,"71,018,000",0.169,0.164,"419,972,000","431,438,000","129,600,000","1,210,807,000","71,018,000","71,018,000","1,100,000","13,328,000","-12,228,000","130,700,000",,"914,848,000","668,937,000","71,018,000",0,0,"799,637,000",0.39,0,63.26571273803711,63.83856964111328,62.81285858154297,62.94285583496094,62.94285583496094,10588900.0,NFLX,"26,476,101,208","25,707,858,208",165.639,72.464,1.403,5.827,17.909,19.179,32.149
"1,270,089,000","1,270,089,000","869,186,000","400,903,000","303,308,000","303,308,000","166,210,000","166,210,000","137,098,000","110,310,000",,"97,595,000","-8,651,000","1,401,000","10,052,000",,0,,,"88,944,000","35,829,000","53,115,000","53,115,000","53,115,000","53,115,000",0,"53,115,000",0.127,0.123,"418,719,000","430,836,000","97,595,000","1,172,494,000","53,115,000","53,115,000","1,401,000","10,052,000","-8,651,000","98,996,000",,"869,186,000","629,238,000","53,115,000",0,0,"728,234,000",0.4,0,51.644287109375,52.4085693359375,49.98285675048828,50.290000915527344,50.290000915527344,22125600.0,NFLX,"21,100,796,482","20,400,391,482",190.286,53.192,1.034,4.89,15.823,16.062,28.014
"1,175,230,000","1,175,230,000","811,849,000","363,381,000","281,093,000","281,093,000","144,248,000","144,248,000","136,845,000","98,128,000",,"82,288,000","-8,284,000","-846,000","8,284,000",0,0,0,,"74,004,000","25,583,000","48,421,000","48,421,000","48,421,000","48,421,000",0,"48,421,000",0.116,0.113,"416,290,000","429,128,000","82,288,000","1,092,942,000","48,421,000","48,421,000","-846,000","8,284,000","-8,284,000","82,288,000",,"811,849,000","603,275,000","48,421,000",0,0,"685,563,000",0.346,0,52.21428680419922,52.735713958740234,51.9471435546875,52.5957145690918,52.5957145690918,10516800.0,NFLX,"21,945,509,558","21,310,522,558",309.387,86.957,0.818,5.349,18.222,18.133,31.085
"1,105,999,000","1,105,999,000","791,019,000","314,980,000","257,860,000","257,860,000","141,751,000","141,751,000","116,109,000","95,540,000",,"57,120,000","-7,629,000","-193,000","7,629,000",,0,,,"49,491,000","17,669,000","31,822,000","31,822,000","31,822,000","31,822,000",0,"31,822,000",0.077,0.074,"413,756,000","426,930,000","57,120,000","1,048,879,000","31,822,000","31,822,000","-193,000","7,629,000","-7,629,000","57,120,000",,"791,019,000","582,392,000","31,822,000",0,0,"639,512,000",0.36,0,43.959999084472656,44.592857360839844,43.599998474121094,44.172855377197266,44.172855377197266,12528600.0,NFLX,"18,323,103,719","17,742,993,719",391.406,86.957,0.95,4.677,16.573,16.043,27.745
"1,069,372,000","1,069,372,000","753,525,000","315,847,000","258,730,000","258,730,000","136,970,000","136,970,000","121,760,000","93,126,000",,"57,117,000","-10,468,000","-2,940,000","10,468,000",,0,,,"46,649,000","17,178,000","29,471,000","29,471,000","29,471,000","29,471,000",0,"29,471,000",0.073,0.07,"407,344,000","424,130,000","57,117,000","1,012,255,000","29,471,000","29,471,000","-2,940,000","10,468,000","-10,468,000","57,117,000",,"753,525,000","539,985,000","29,471,000",0,0,"597,102,000",0.368,0,,,,,,,,"11,851,793,913","11,525,921,913",502.595,71.942,0.784,3.37,15.3,10.778,19.303
"1,023,961,000","1,023,961,000","726,863,000","297,098,000","265,276,000","265,276,000","136,101,000","136,101,000","129,175,000","91,975,000",,"31,822,000","-5,763,000","977,000","6,740,000","-25,129,000","-25,129,000","25,129,000",,"930,000","-1,759,000","2,689,000","2,689,000","2,689,000","2,689,000","49,000","2,738,000",0.007,0.007,"391,804,000","421,022,000","31,822,000","992,139,000","2,689,000","19,022,850","977,000","6,740,000","-5,763,000","7,670,000",,"726,863,000","516,028,000","2,689,000","-25,129,000","-25,129,000","548,827,000",0.35,"-8,795,150",,,,,,,,"10,598,445,326","10,250,367,326",652.683,46.729,,3.089,14.271,10.011,19.573
"945,239,000","945,239,000","695,867,000","249,372,000","229,734,000","476,603,000","359,231,000","359,231,000","117,372,000","82,139,000",,"19,638,000","-4,734,000","282,000","5,016,000",,,,,"14,904,000","7,007,000","7,897,000","7,897,000","7,897,000","7,897,000",,"8,092,000",0.02,0.019,"388,934,000","413,903,000","19,638,000","925,601,000","7,897,000","7,897,000","282,000","5,016,000","-4,734,000","19,920,000",,"695,867,000","492,415,000","7,897,000",,,"512,335,000",0.35,0,12.768570899963379,13.35714340209961,12.715714454650879,13.227143287658691,13.227143287658691,18078900.0,NFLX,"5,146,815,792","4,798,737,792",319.273,119.048,,1.511,6.912,5.077,9.366
"905,089,000","905,089,000","662,638,000","242,451,000","226,316,000","143,795,000","30,562,000","30,562,000","113,233,000","82,521,000",,"16,135,000","-4,189,000","801,000","4,990,000","801,000","801,000",,,"11,946,000","4,271,000","7,675,000","7,675,000","7,675,000","7,675,000",,"7,675,000",0.02,0.019,"388,787,000","411,103,000","16,135,000","888,954,000","7,675,000","7,675,000","801,000","4,990,000","-4,189,000","16,936,000",,"662,638,000","435,207,000","7,675,000","801,000","801,000","452,143,000",0.358,0,,,,,,,,"3,023,285,441","2,609,942,441",29.912,39.841,,0.894,4.394,2.884,5.772
"889,163,000","889,163,000","643,428,000","245,735,000","229,581,000","148,034,000","29,810,000","29,810,000","118,224,000","81,547,000",,"16,154,000","-5,006,000",0,"5,006,000","-493,000","-493,000",,"-493,000","10,655,000","4,491,000","6,164,000","6,164,000","6,164,000","6,164,000",,"6,164,000",0.016,0.016,"388,682,000","411,663,000","16,154,000","873,009,000","6,164,000","6,164,000",0,"5,006,000","-5,006,000","15,661,000",,"643,428,000","403,348,000","6,164,000","-493,000","-493,000","419,009,000",0.35,0,,,,,,,,"3,801,987,989","3,397,461,989",23.059,26.385,,1.116,5.733,3.821,8.108
"869,791,000","869,791,000","623,933,000","245,858,000","247,793,000","164,992,000","29,092,000","29,092,000","135,900,000","82,801,000",,"-1,935,000","-5,090,000",,"5,090,000","-116,000","-116,000",,,"-7,025,000","-2,441,000","-4,584,000","-4,584,000","-4,584,000","-4,584,000",,"-4,584,000",-0.011,-0.011,"388,192,000","388,192,000","-1,935,000","871,726,000","-4,584,000","-4,584,000",,"5,090,000","-5,090,000","-1,935,000",,"623,933,000","371,113,000","-4,584,000","-116,000","-116,000","369,178,000",0.347,0,,,,,,,,"6,375,359,425","5,979,867,425",27.005,52.356,2.297,1.952,9.851,6.875,16.198
"875,575,000","875,575,000","575,155,000","300,420,000","238,548,000","157,765,000","43,477,000","43,477,000","114,288,000","80,783,000",,"61,872,000","-5,037,000","-95,000","4,942,000","-95,000","-95,000",,,"56,835,000","21,616,000","35,219,000","35,219,000","35,219,000","35,219,000",,"35,236,000",0.109,0.104,"375,074,000","388,073,000","61,872,000","813,703,000","35,219,000","35,219,000","-95,000","4,942,000","-5,037,000","61,777,000",,"575,155,000","-480,013,000","35,219,000","-95,000","-95,000","61,777,000",0.38,0,,,,,,,,"3,638,008,465","3,506,895,465",15.748,125,5.783,1.281,9.884,4.005,56.767
