date,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,GeneralAndAdministrativeExpense,SalariesAndWages,RentAndLandingFees,OtherGandA,SellingAndMarketingExpense,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,InterestIncomeNonOperating,InterestExpenseNonOperating,OtherIncomeExpense,SpecialIncomeCharges,RestructuringAndMergernAcquisition,ImpairmentOfCapitalAssets,OtherSpecialCharges,OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,NetIncomeDiscontinuousOperations,NetIncomeExtraordinary,NetIncomeFromTaxLossCarryforward,MinorityInterests,PreferredStockDividends,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,RentExpenseSupplemental,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,Cushing OK WTI Spot Price FOB Dollars per Barrel,GDP,Inflation rate,Unemployment rate,Exchange Rate(w RMB)
12/31/12,"3,408,000,000","11,417,000,000","-5,480,000,000","-5,541,000,000",,,,,,,,,,"1,778,000,000","61,000,000","-103,000,000","6,000,000","109,000,000","-264,000,000","-506,000,000","441,000,000",,"58,000,000","270,000,000","-306,000,000","-569,000,000","263,000,000","263,000,000","263,000,000","263,000,000",,,,,,"263,000,000",2.088,1.847,"125,122,500","142,677,000","3,000,000","454,000,000","5,876,000,000","263,000,000","591,900,000","6,000,000","109,000,000","-103,000,000","-197,000,000",,"11,417,000,000",,"263,000,000","-506,000,000","-506,000,000","309,000,000",0.35,"-177,100,000",12.85000038,13.68000031,12.84000015,13.5,12.72700977,7005600,AAL,"266,557,327","4,909,557,327",,,,0.011,,0.827,-24.922,91.83,16358.863,1.9,7.8,6.224613
9/30/12,"6,429,000,000","2,993,000,000","3,436,000,000","3,174,000,000","2,199,000,000","1,922,000,000","1,783,000,000","466,000,000","-327,000,000","277,000,000","256,000,000","256,000,000",,"719,000,000","262,000,000","-154,000,000","7,000,000","161,000,000","-346,000,000","-346,000,000",,,,,"-238,000,000",0,"-238,000,000","-238,000,000","-238,000,000","-238,000,000",,,,,,"-238,000,000",-1.901,-1.901,"125,122,500","125,122,500","51,000,000","466,000,000","6,167,000,000","-238,000,000","108,000,000","7,000,000","161,000,000","-154,000,000","-77,000,000",,"2,993,000,000","256,000,000","-238,000,000","-346,000,000","-346,000,000","525,000,000",0,0,,,,,,,,"122,374,117","3,512,374,117",,,,0.005,,0.546,19.622,,16257.151,1.7,8.033333333,6.250109667
6/30/12,"6,452,000,000","3,029,000,000","3,423,000,000","3,175,000,000","2,171,000,000","1,908,000,000","1,778,000,000","463,000,000","-333,000,000","263,000,000","261,000,000","261,000,000",,"743,000,000","248,000,000","-145,000,000","7,000,000","152,000,000","-344,000,000","-344,000,000",,,,,"-241,000,000",0,"-241,000,000","-241,000,000","-241,000,000","-241,000,000",,,,,,"-241,000,000",-1.928,-1.928,"125,122,500","125,122,500","142,000,000","463,000,000","6,204,000,000","-241,000,000","103,000,000","7,000,000","152,000,000","-145,000,000","-89,000,000",,"3,029,000,000","261,000,000","-241,000,000","-344,000,000","-344,000,000","516,000,000",0,0,,,,,,,,"184,064,083","8,763,064,083",,,,0.008,,1.358,50.948,,16152.257,1.9,8.2,6.353122
3/31/12,"6,037,000,000","2,979,000,000","3,058,000,000","3,136,000,000","2,173,000,000","1,907,000,000","1,782,000,000","471,000,000","-346,000,000","266,000,000","260,000,000","260,000,000",,"703,000,000","-78,000,000","-160,000,000","6,000,000","166,000,000","-1,422,000,000","-1,422,000,000",,,,,"-1,660,000,000",0,"-1,660,000,000","-1,660,000,000","-1,660,000,000","-1,660,000,000",,,,,,"-1,660,000,000",-13.253,-13.253,"125,122,500","125,122,500","-89,000,000","471,000,000","6,115,000,000","-1,660,000,000","-238,000,000","6,000,000","166,000,000","-160,000,000","-1,494,000,000",,"2,979,000,000","260,000,000","-1,660,000,000","-1,422,000,000","-1,422,000,000","188,000,000",0,0,,,,,,,,"164,953,605","4,383,953,605",,,,0.007,,0.726,-3.553,,16019.758,2.833333333,8.266666667,6.328607333
12/31/11,"5,956,000,000","2,847,000,000","3,109,000,000","3,168,000,000","2,172,000,000","1,919,000,000","1,791,000,000","541,000,000","-413,000,000","253,000,000","271,000,000","271,000,000",,"725,000,000","-59,000,000","-182,000,000","6,000,000","188,000,000","-854,000,000","-854,000,000",,,,,"-1,095,000,000",0,"-1,095,000,000","-1,095,000,000","-1,095,000,000","-1,095,000,000",,,,,,"-1,095,000,000",,,,,"-784,000,000","541,000,000","6,015,000,000","-1,095,000,000","-241,000,000","6,000,000","188,000,000","-182,000,000","-907,000,000",,"2,847,000,000","271,000,000","-1,095,000,000","-854,000,000","-854,000,000","218,000,000",0,0,,,,,,,,"117,343,589","7,441,343,589",,,,0.005,,1.249,-11.7,,15796.46,3.3,8.633333333,6.308894333
9/30/11,"6,376,000,000","3,128,000,000","3,248,000,000","3,209,000,000","2,198,000,000","1,913,000,000","1,776,000,000","528,000,000","-391,000,000","285,000,000","273,000,000","273,000,000",,"738,000,000","39,000,000","-194,000,000","6,000,000","200,000,000","-7,000,000","-7,000,000",,,,,"-162,000,000",0,"-162,000,000","-162,000,000","-162,000,000","-162,000,000",,,,,,"-162,000,000",-1.285,-1.285,"125,122,500","125,122,500","39,000,000","528,000,000","6,337,000,000","-162,000,000","-155,000,000","6,000,000","200,000,000","-194,000,000","38,000,000",,"3,128,000,000","273,000,000","-162,000,000","-7,000,000","-7,000,000","318,000,000",0,0,5.960000038,5.980000019,5.46999979,5.5,5.185077667,8429500,AAL,"992,213,540","8,316,213,540",,,,0.042,,1.304,26.74,78.93,15591.85,3.766666667,9,6.357499667
6/30/11,"6,114,000,000","3,049,000,000","3,065,000,000","3,143,000,000","2,165,000,000","1,897,000,000","1,764,000,000","513,000,000","-380,000,000","268,000,000","266,000,000","266,000,000",,"712,000,000","-78,000,000","-198,000,000","7,000,000","205,000,000","-10,000,000","-10,000,000",,,,,"-286,000,000",0,"-286,000,000","-286,000,000","-286,000,000","-286,000,000",,,,,,"-286,000,000",-2.276,-2.276,"125,122,500","125,122,500","-78,000,000","513,000,000","6,192,000,000","-286,000,000","-276,000,000","7,000,000","205,000,000","-198,000,000","-81,000,000",,"3,049,000,000","266,000,000","-286,000,000","-10,000,000","-10,000,000","195,000,000",0,0,8.920000076,9.100000381,8.899999619,8.909999847,8.399827957,4527600,AAL,"1,800,692,862","8,506,692,862",,,,0.078,,1.391,45.982,95.3,15496.189,3.466666667,9.066666667,6.416732333
3/31/11,"5,533,000,000","2,659,000,000","2,874,000,000","3,106,000,000","2,099,000,000","1,843,000,000","1,722,000,000","512,000,000","-391,000,000","256,000,000","276,000,000","276,000,000",,"731,000,000","-232,000,000","-186,000,000","7,000,000","193,000,000","-18,000,000","-18,000,000",,,,,"-436,000,000",0,"-436,000,000","-436,000,000","-436,000,000","-436,000,000",,,,,,"-436,000,000",-3.507,-3.507,"124,375,500","124,375,500","-232,000,000","512,000,000","5,765,000,000","-436,000,000","-418,000,000","7,000,000","193,000,000","-186,000,000","-243,000,000",,"2,659,000,000","276,000,000","-436,000,000","-18,000,000","-18,000,000","51,000,000",0,0,8.909999847,8.909999847,8.590000153,8.710000038,8.211279869,4789000,AAL,"2,154,125,310","12,763,125,310",,,,0.095,,2.307,386.761,106.19,15285.828,2.133333333,9.033333333,6.4995
12/31/10,"5,586,000,000","1,568,000,000","4,018,000,000","2,916,000,000","1,936,000,000","1,698,000,000","1,698,000,000","517,000,000","-517,000,000","238,000,000","285,000,000","285,000,000",,"695,000,000","1,102,000,000","-188,000,000","38,000,000","226,000,000","-13,000,000","-13,000,000",,,,,"-133,000,000","-35,000,000","-98,000,000","-98,000,000","-98,000,000","-98,000,000",,,,,,"-98,000,000",,,,,"68,000,000","517,000,000","4,484,000,000","-98,000,000","-88,421,052.63","38,000,000","226,000,000","-188,000,000","93,000,000",,"1,568,000,000","285,000,000","-98,000,000","-13,000,000","-13,000,000","391,000,000",0.263,"-3,421,052.63",10.15999985,10.18999958,9.949999809,10.01000023,9.436842918,2191900,AAL,"2,597,570,223","9,237,570,223",,,,0.117,,1.654,24.438,91.38,15240.843,1.266666667,9.5,6.580304
9/30/10,"5,842,000,000","1,573,000,000","4,269,000,000","2,921,000,000","1,988,000,000","1,732,000,000","1,732,000,000","503,000,000","-503,000,000","256,000,000","274,000,000","274,000,000",,"659,000,000","1,348,000,000","-189,000,000","8,000,000","197,000,000","-10,000,000","-10,000,000",,,,,"143,000,000",0,"143,000,000","143,000,000","143,000,000","143,000,000",,,,,,"143,000,000",1.151,1.044,"124,375,500","145,291,500","342,000,000","503,000,000","4,494,000,000","143,000,000","153,000,000","8,000,000","197,000,000","-189,000,000","340,000,000",,"1,573,000,000","274,000,000","143,000,000","-10,000,000","-10,000,000","624,000,000",0,0,9.140000343,9.270000458,9.050000191,9.25,8.720359802,5015900,AAL,"2,088,224,037","8,820,224,037",,,,0.096,,1.51,14.365,79.95,15079.917,1.133333333,9.466666667,6.658365
6/30/10,"5,674,000,000","1,619,000,000","4,055,000,000","2,865,000,000","1,962,000,000","1,714,000,000","1,714,000,000","497,000,000","-497,000,000","248,000,000","267,000,000","267,000,000",,"636,000,000","1,190,000,000","-195,000,000","14,000,000","209,000,000","-12,000,000","-12,000,000",,,,,"-11,000,000",0,"-11,000,000","-11,000,000","-11,000,000","-11,000,000",,,,,,"-11,000,000",-0.08,-0.08,"124,375,500","124,375,500","196,000,000","497,000,000","4,484,000,000","-11,000,000","1,000,000","14,000,000","209,000,000","-195,000,000","198,000,000",,"1,619,000,000","267,000,000","-11,000,000","-12,000,000","-12,000,000","477,000,000",0,0,8.729999542,9.050000191,8.510000229,8.609999657,8.117004395,7687900,AAL,"2,255,783,874","8,668,783,874",,,,0.104,,1.528,18.643,75.59,14926.098,1.766666667,9.633333333,6.770695
3/31/10,"5,068,000,000","1,461,000,000","3,607,000,000","2,943,000,000","1,937,000,000","1,703,000,000","1,703,000,000","481,000,000","-481,000,000","234,000,000","267,000,000","267,000,000",,"739,000,000","664,000,000","-194,000,000","5,000,000","199,000,000","-13,000,000","-13,000,000",,,,,"-505,000,000",0,"-505,000,000","-505,000,000","-505,000,000","-505,000,000",,,,,,"-505,000,000",-4.07,-4.07,"124,375,500","124,375,500","-298,000,000","481,000,000","4,404,000,000","-505,000,000","-492,000,000","5,000,000","199,000,000","-194,000,000","-306,000,000",,"1,461,000,000","267,000,000","-505,000,000","-13,000,000","-13,000,000","-26,000,000",0,0,7.179999828,7.460000038,7.090000153,7.349999905,6.929150105,5262600,AAL,"3,030,119,125","13,950,119,125",,,,0.139,,2.753,-357.695,83.45,14721.35,2.333333333,9.833333333,6.824717
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.827639667
