MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,date,open,high,low,close,adjclose,volume,ticker
"27,453,643,789","48,683,643,789",,,,,,2021-07-09,42.470001220703125,43.20000076293945,42.29999923706055,42.91999816894531,42.91999816894531,7691700.0,DAL
"27,671,123,725","48,901,123,725",,,,2.174,57.409,2021-06-30,42.83000183105469,43.59000015258789,42.810001373291016,43.2599983215332,43.2599983215332,7845500.0,DAL
"30,498,362,904","51,728,362,904",,,,2.396,63.275,2021-05-31,,,,,,,
"30,012,231,281","51,242,231,281",,,,2.357,62.266,2021-04-30,46.029998779296875,47.08000183105469,45.900001525878906,46.91999816894531,46.91999816894531,9175200.0,DAL
"30,882,851,764","52,334,851,764",,,,1.796,20.132,2021-03-31,48.79999923706055,49.02000045776367,48.11000061035156,48.279998779296875,48.279998779296875,9469200.0,DAL
"30,854,391,252","52,306,391,252",,,,,,2021-03-03,48.619998931884766,49.09000015258789,48.13999938964844,48.349998474121094,48.349998474121094,13642700.0,DAL
"30,592,751,120","52,044,751,120",,,,,,2021-02-26,47.70000076293945,49.13999938964844,47.279998779296875,47.939998626708984,47.939998626708984,14828000.0,DAL
"24,225,408,459","45,677,408,459",,,,,,2021-01-29,39.27000045776367,39.83000183105469,37.7400016784668,37.959999084472656,37.959999084472656,17989700.0,DAL
"25,661,319,129","45,576,319,129",,158.73,39.128,1.045,7.644,2020-12-31,40.29999923706055,40.7400016784668,39.7599983215332,40.209999084472656,40.209999084472656,8705700.0,DAL
"25,668,805,615","45,583,805,615",,91.743,22.699,1.046,7.646,2020-11-30,40.529998779296875,41.04999923706055,39.349998474121094,40.25,40.25,16732600.0,DAL
"26,185,370,399","46,100,370,399",,,,,,2020-11-27,41.790000915527344,42.189998626708984,40.779998779296875,41.060001373291016,41.060001373291016,10516600.0,DAL
"21,925,305,268","41,840,305,268",,,,,,2020-11-12,34.09000015258789,35.54999923706055,34.02000045776367,34.380001068115234,34.380001068115234,21676300.0,DAL
"19,540,178,982","39,455,178,982",,,,,,2020-10-30,30.520000457763672,30.989999771118164,29.989999771118164,30.639999389648438,30.639999389648438,15229400.0,DAL
"19,501,914,924","34,578,914,924",,23.529,6.782,0.576,2.244,2020-09-30,30.989999771118164,31.850000381469727,30.479999542236328,30.579999923706055,30.579999923706055,16664100.0,DAL
"18,504,224,201","33,581,224,201",,,,,,2020-09-24,29.1200008392334,29.510000228881836,27.920000076293945,29.010000228881836,29.010000228881836,22257800.0,DAL
"19,862,859,070","34,939,859,070",,,,,,2020-09-02,30.399999618530273,31.299999237060547,30.139999389648438,31.139999389648438,31.139999389648438,16307700.0,DAL
"19,677,880,614","34,754,880,614",,,,0.581,2.264,2020-08-31,31.809999465942383,32.0099983215332,30.799999237060547,30.850000381469727,30.850000381469727,18262700.0,DAL
"15,927,282,947","31,004,282,947",,,,0.47,1.833,2020-07-31,24.799999237060547,25.010000228881836,24.43000030517578,24.969999313354492,24.969999313354492,17106500.0,DAL
"16,724,603,880","31,801,603,880",,,,,,2020-07-20,27.0,27.420000076293945,26.030000686645508,26.219999313354492,26.219999313354492,21574500.0,DAL
"16,652,628,491","33,656,628,491",,,,,,2020-07-14,25.639999389648438,26.75,25.459999084472656,26.110000610351562,26.110000610351562,42273300.0,DAL
"17,891,881,725","34,895,881,725",5.223,,,0.401,1.25,2020-06-30,28.350000381469727,28.65999984741211,27.600000381469727,28.049999237060547,28.049999237060547,27054800.0,DAL
"16,078,619,849","33,082,619,849",,,,,,2020-05-29,24.6200008392334,25.610000610351562,24.3700008392334,25.209999084472656,25.209999084472656,50424400.0,DAL
"16,366,617,905","33,370,617,905",,,,,,2020-05-28,26.25,26.360000610351562,24.950000762939453,25.65999984741211,25.65999984741211,53868100.0,DAL
"14,491,409,151","31,495,409,151",,,,,,2020-05-20,22.34000015258789,23.100000381469727,22.139999389648438,22.719999313354492,22.719999313354492,50857000.0,DAL
"14,038,552,615","31,042,552,615",,,,,,2020-05-11,22.100000381469727,22.510000228881836,21.549999237060547,22.010000228881836,22.010000228881836,39151900.0,DAL
"16,526,074,432","33,530,074,432",4.825,,,0.371,1.155,2020-04-30,26.700000762939453,27.229999542236328,25.5,25.90999984741211,25.90999984741211,63570700.0,DAL
"18,197,466,957","32,570,466,957",3.908,5.893,589.219,0.396,1.185,2020-03-31,29.350000381469727,30.530000686645508,28.420000076293945,28.530000686645508,28.530000686645508,25002300.0,DAL
"29,527,535,989","43,900,535,989",,,,,,2020-02-28,46.02000045776367,47.790000915527344,45.13999938964844,46.130001068115234,46.130001068115234,19851300.0,DAL
"35,678,839,281","50,051,839,281",7.636,7.479,0.846,0.774,2.311,2020-01-31,56.70000076293945,57.08000183105469,55.43000030517578,55.7400016784668,55.35745620727539,9320800.0,DAL
"37,589,289,776","52,094,289,776",8.26,7.831,0.734,0.838,2.495,2019-12-31,58.4900016784668,58.72999954223633,58.34000015258789,58.47999954223633,58.07864761352539,2917300.0,DAL
"37,064,832,962","51,569,832,962",,,,,,2019-11-29,57.150001525878906,57.849998474121094,57.0099983215332,57.310001373291016,56.91667938232422,2653600.0,DAL
"35,622,596,398","50,127,596,398",7.78,7.358,0.69,0.789,2.364,2019-10-31,55.02000045776367,55.20000076293945,54.40999984741211,55.08000183105469,54.70198440551758,7024000.0,DAL
"37,252,388,390","51,614,388,390",8.61,7.576,0.71,0.849,2.669,2019-09-30,58.5099983215332,58.689998626708984,57.52000045776367,57.599998474121094,56.78284454345703,5208200.0,DAL
"37,620,607,699","51,982,607,699",,,,,,2019-08-30,58.150001525878906,58.86000061035156,57.59000015258789,57.86000061035156,57.039161682128906,4268300.0,DAL
"39,688,245,661","54,050,245,661",9.124,8.681,0.767,0.9,2.843,2019-07-31,62.5,62.529998779296875,60.68000030517578,61.040000915527344,60.17404556274414,7229600.0,DAL
"37,151,175,765","52,752,175,765",,,,,,2019-06-28,56.88999938964844,57.41999816894531,56.70000076293945,56.75,55.587547302246094,8034800.0,DAL
"33,714,282,853","49,315,282,853",8.626,7.547,0.651,0.784,2.611,2019-05-31,52.470001220703125,52.79999923706055,51.310001373291016,51.5,50.44508743286133,5615100.0,DAL
"38,159,331,020","53,760,331,020",9.764,8.547,0.737,0.887,2.956,2019-04-30,57.81999969482422,58.56999969482422,57.7599983215332,58.290000915527344,56.753170013427734,4030300.0,DAL
"35,067,772,561","49,826,772,561",,,,,,2019-03-29,50.72999954223633,51.75,50.380001068115234,51.650001525878906,50.28824234008789,9162100.0,DAL
"33,662,345,858","48,421,345,858",8.744,7.375,0.757,0.774,2.459,2019-02-28,50.09000015258789,50.16999816894531,49.540000915527344,49.58000183105469,48.27281188964844,9483800.0,DAL
"33,560,503,344","48,315,503,344",8.718,7.38,0.758,0.772,2.454,2019-01-31,50.06999969482422,50.40999984741211,49.09000015258789,49.43000030517578,47.792747497558594,8287100.0,DAL
"33,929,229,302","41,362,229,302",9.804,7.391,0.579,0.794,2.476,2018-12-31,50.290000915527344,50.65999984741211,49.560001373291016,49.900001525878906,48.247188568115234,6231700.0,DAL
"41,623,911,337","49,056,911,337",11.927,9.225,0.718,0.966,3.037,2018-11-30,59.2599983215332,61.31999969482422,59.16999816894531,60.709999084472656,58.69913101196289,10846900.0,DAL
"37,523,911,505","44,956,911,505",10.752,8.19,0.637,0.871,2.738,2018-10-31,55.61000061035156,56.130001068115234,54.68000030517578,54.72999954223633,52.58676528930664,8699500.0,DAL
"39,979,690,177","47,477,690,177",,,,,,2018-09-28,58.0,58.27000045776367,57.540000915527344,57.83000183105469,55.565372467041016,4642500.0,DAL
"40,429,055,535","47,927,055,535",12.183,10.309,0.978,0.96,3.145,2018-08-31,58.439998626708984,58.779998779296875,58.34000015258789,58.47999954223633,56.18991470336914,6076700.0,DAL
