MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,open,high,low,close,adjclose,volume,ticker
"237,654,998,441","244,810,633,441",,,,,,531.0,538.260009765625,528.5800170898438,535.97998046875,535.97998046875,2776800.0,NFLX
"234,209,759,182","241,365,394,182",63.948,51.546,1.633,9.106,18.178,534.0599975585938,534.3800048828125,526.8200073242188,528.2100219726562,528.2100219726562,2773400.0,NFLX
"222,947,329,688","230,102,964,688",60.873,49.02,1.555,8.668,17.304,,,,,,,
"227,674,002,853","234,829,637,853",62.163,50,1.588,8.852,17.671,505.0,514.5499877929688,505.0,513.469970703125,513.469970703125,4413200.0,NFLX
"231,295,557,635","239,398,980,635",85.799,53.476,2.383,9.479,20.903,515.6699829101562,528.1300048828125,515.4400024414062,521.6599731445312,521.6599731445312,3503100.0,NFLX
"228,706,683,827","236,810,106,827",,,,,,511.9800109863281,517.760009765625,498.7900085449219,516.3900146484375,516.3900146484375,5070000.0,NFLX
"238,654,111,389","246,757,534,389",,,,,,546.510009765625,553.0900268554688,538.0,538.8499755859375,538.8499755859375,3755600.0,NFLX
"238,919,848,546","247,023,271,546",,,,,,550.1699829101562,550.47998046875,538.239990234375,539.4500122070312,539.4500122070312,3172300.0,NFLX
"235,793,008,003","243,896,431,003",,,,,,538.0,541.0,530.1799926757812,532.3900146484375,532.3900146484375,4325300.0,NFLX
"239,486,754,480","247,141,496,480",87.355,60.976,2.289,10.289,23.176,525.530029296875,545.5,523.1500244140625,540.72998046875,540.72998046875,5392300.0,NFLX
"236,117,342,025","243,772,084,025",,,,,,533.2000122070312,536.3699951171875,526.02001953125,534.4500122070312,534.4500122070312,4502700.0,NFLX
"216,788,810,425","224,443,552,425",79.273,56.497,2.113,9.337,20.98,490.0799865722656,492.54998779296875,481.2699890136719,490.70001220703125,490.70001220703125,3530900.0,NFLX
"214,270,578,880","221,925,320,880",,,,,,485.1300048828125,486.8999938964844,478.9200134277344,485.0,485.0,3598600.0,NFLX
"215,052,556,044","222,707,298,044",,,,,,491.0,496.5199890136719,480.42999267578125,486.7699890136719,486.7699890136719,5063700.0,NFLX
"210,179,557,105","217,834,299,105",,,,,,502.010009765625,505.8800048828125,472.2099914550781,475.739990234375,475.739990234375,7807900.0,NFLX
"222,757,460,983","230,412,202,983",,,,,,488.5,513.9000244140625,479.3399963378906,504.2099914550781,504.2099914550781,11120700.0,NFLX
"216,006,833,261","223,661,575,261",,,,,,490.010009765625,490.489990234375,482.92999267578125,488.92999267578125,488.92999267578125,3627200.0,NFLX
"237,901,370,571","246,542,281,571",,,,,,537.8300170898438,544.280029296875,535.0,539.4400024414062,539.4400024414062,4781300.0,NFLX
"220,910,757,850","229,551,668,850",84.465,57.471,2.178,9.996,23.665,492.57000732421875,504.6300048828125,489.2699890136719,500.0299987792969,500.0299987792969,4634100.0,NFLX
"208,635,585,774","217,276,496,774",,,,,,470.5299987792969,477.0,467.82000732421875,473.0799865722656,473.0799865722656,3727200.0,NFLX
"211,982,892,986","220,623,803,986",,,,,,503.3500061035156,506.2900085449219,478.8399963378906,480.6700134277344,480.6700134277344,6240200.0,NFLX
"233,544,137,995","242,185,048,995",89.453,84.034,3.173,10.586,25.019,521.1599731445312,531.989990234375,517.5800170898438,529.5599975585938,529.5599975585938,4941400.0,NFLX
"231,043,580,433","239,684,491,433",,,,,,532.0,539.0,522.0,523.8900146484375,523.8900146484375,4417500.0,NFLX
"221,438,264,084","230,079,175,084",,,,,,508.67999267578125,510.1000061035156,501.20001220703125,502.1099853515625,502.1099853515625,4308200.0,NFLX
"215,603,629,773","224,244,540,773",82.581,77.519,2.934,9.773,23.097,488.2900085449219,494.79998779296875,484.5,488.8800048828125,488.8800048828125,5916300.0,NFLX
"213,663,161,824","222,304,072,824",,,,,,492.25,494.9200134277344,484.1300048828125,484.4800109863281,484.4800109863281,6611800.0,NFLX
"231,948,250,018","241,465,867,018",,,,,,526.47998046875,535.5399780273438,504.3599853515625,527.3900146484375,527.3900146484375,24499000.0,NFLX
"200,679,667,182","210,197,284,182",92.113,71.942,3.022,9.608,23.864,450.0199890136719,457.5899963378906,447.0,455.0400085449219,455.0400085449219,4198500.0,NFLX
"184,598,947,610","194,116,564,610",,,,,,417.4599914550781,420.29998779296875,411.8500061035156,419.7300109863281,419.7300109863281,5254900.0,NFLX
