MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,open,high,low,close,adjclose,volume,ticker
"13,398,493,439","47,383,493,439",,,,,,20.790000915527344,21.0,20.5,20.889999389648438,20.889999389648438,21692700.0,AAL
"13,603,736,038","47,588,736,038",,,,0.886,,21.09000015258789,21.479999542236328,20.940000534057617,21.209999084472656,21.209999084472656,26231800.0,AAL
"15,547,126,901","49,532,126,901",,,,1.013,,,,,,,,
"13,930,841,431","47,915,841,431",,,,0.908,,21.170000076293945,21.8799991607666,21.079999923706055,21.719999313354492,21.719999313354492,31608800.0,AAL
"15,328,849,952","49,485,849,952",,,,0.667,,24.030000686645508,24.1200008392334,23.610000610351562,23.899999618530273,23.899999618530273,29800300.0,AAL
"13,394,811,252","47,551,811,252",,,,,,20.610000610351562,21.43000030517578,20.34000015258789,20.940000534057617,20.940000534057617,42397300.0,AAL
"10,670,803,392","44,827,803,392",,,,,,18.690000534057617,18.729999542236328,16.75,17.170000076293945,17.170000076293945,113054800.0,AAL
"9,662,441,674","42,583,441,674",,,,,,15.569999694824219,15.84000015258789,15.460000038146973,15.819999694824219,15.819999694824219,39126600.0,AAL
"9,800,732,061","42,721,732,061",,,,0.288,,16.079999923706055,16.09000015258789,15.630000114440918,15.770000457763672,15.770000457763672,57891100.0,AAL
"10,016,690,484","42,937,690,484",,,,,,16.399999618530273,16.93000030517578,16.1200008392334,16.399999618530273,16.399999618530273,117387600.0,AAL
"8,630,233,935","41,551,233,935",,,,0.258,,14.920000076293945,14.960000038146973,13.930000305175781,14.130000114440918,14.130000114440918,97536300.0,AAL
"7,737,823,506","40,658,823,506",,,,,,12.729999542236328,13.039999961853027,12.630000114440918,12.789999961853027,12.789999961853027,58809400.0,AAL
"5,737,366,444","38,658,366,444",,,,,,11.0600004196167,11.420000076293945,10.979999542236328,11.279999732971191,11.279999732971191,51284700.0,AAL
"6,250,741,869","36,486,741,869",,,,0.16,,12.319999694824219,12.920000076293945,12.220000267028809,12.289999961853027,12.289999961853027,65428100.0,AAL
"5,985,764,888","36,221,764,888",,,,,,11.739999771118164,12.0,11.220000267028809,11.770000457763672,11.770000457763672,49163200.0,AAL
"6,636,723,177","36,872,723,177",,,,0.169,,13.600000381469727,13.739999771118164,13.050000190734863,13.050000190734863,13.050000190734863,45917200.0,AAL
"6,448,555,546","36,684,555,546",,,,,,12.649999618530273,13.4399995803833,12.579999923706055,12.680000305175781,12.680000305175781,59266500.0,AAL
"6,885,918,147","37,121,918,147",,,,,,14.029999732971191,14.0600004196167,13.100000381469727,13.539999961853027,13.539999961853027,77379800.0,AAL
"5,655,200,132","35,891,200,132",,,,0.144,,11.15999984741211,11.25,10.800000190734863,11.119999885559082,11.119999885559082,51691400.0,AAL
"5,792,511,646","36,028,511,646",,,,,,11.670000076293945,11.819999694824219,11.34000015258789,11.390000343322754,11.390000343322754,53761400.0,AAL
"6,646,828,932","37,143,828,932",,,,0.131,,13.100000381469727,13.479999542236328,12.880000114440918,13.069999694824219,13.069999694824219,69607700.0,AAL
"7,079,253,946","37,576,253,946",,,,,,16.81999969482422,17.309999465942383,15.670000076293945,16.739999771118164,16.739999771118164,161101800.0,AAL
"4,440,392,260","34,937,392,260",,,,,,10.479999542236328,10.869999885559082,10.319999694824219,10.5,10.5,58920300.0,AAL
"4,152,823,999","34,649,823,999",,,,,,9.40999984741211,10.170000076293945,9.149999618530273,9.819999694824219,9.819999694824219,125580000.0,AAL
"5,078,962,957","35,575,962,957",3.169,8.34,,0.12,,11.920000076293945,12.59000015258789,11.260000228881836,12.010000228881836,12.010000228881836,94921400.0,AAL
"5,154,986,837","34,772,986,837",3.216,8.467,,0.118,,12.899999618530273,12.960000038146973,12.100000381469727,12.1899995803833,12.1899995803833,44851400.0,AAL
"8,116,419,073","37,734,419,073",,,,,,19.799999237060547,20.350000381469727,18.770000457763672,19.049999237060547,19.049999237060547,37093200.0,AAL
"11,492,955,261","41,110,955,261",7.082,5.131,1.05,0.261,,27.5,27.520000457763672,26.59000015258789,26.84000015258789,26.741178512573242,11027900.0,AAL
"12,280,847,872","41,552,847,872",8.102,4.988,0.779,0.285,76.755,28.200000762939453,28.790000915527344,28.190000534057617,28.68000030517578,28.574403762817383,4396800.0,AAL
"12,589,786,086","41,861,786,086",,,,,,28.920000076293945,29.270000457763672,28.65999984741211,28.739999771118164,28.63418197631836,2970800.0,AAL
"13,168,022,608","42,440,022,608",8.492,5.222,0.816,0.299,82.3,30.06999969482422,30.209999084472656,29.459999084472656,30.059999465942383,29.852554321289062,8779600.0,AAL
"11,813,811,717","41,154,811,717",7.956,4.615,0.676,0.273,,27.350000381469727,27.40999984741211,26.81999969482422,26.969999313354492,26.78388023376465,5109800.0,AAL
"11,715,072,853","41,056,072,853",,,,,,26.399999618530273,26.829999923706055,26.15999984741211,26.309999465942383,26.128435134887695,5076200.0,AAL
"13,585,209,911","42,926,209,911",9,5.801,0.319,0.309,,30.68000030517578,31.139999389648438,30.270000457763672,30.510000228881836,30.193246841430664,6269400.0,AAL
"14,506,073,100","43,601,073,100",,,,,,32.22999954223633,32.72999954223633,32.15999984741211,32.61000061035156,32.271446228027344,5238500.0,AAL
"12,112,860,181","41,207,860,181",8.784,5.247,0.288,0.28,,27.799999237060547,27.920000076293945,27.110000610351562,27.229999542236328,26.947298049926758,7441400.0,AAL
"15,204,464,230","44,299,464,230",11.026,6.013,0.331,0.352,,33.779998779296875,34.38999938964844,33.54999923706055,34.18000030517578,33.72780227661133,5719600.0,AAL
